Latin Name,Species Code,Avg Max Height (m),Growth rate,Shade tolerance,Drought tolerance,Tree Shape,Flowering,Fruiting,Fall Colour,Leaf shape,Bark texture
Abies balsamea,ABBA,18.5,0,5,1,1,1,1,1,5,3
Acer ginnala,ACGI,4.5,1,3,3,0,1,1,0,1,3
Acer miyabei 'Morton' (State Street TM),ACMIMO,13.5,1,3,4,0,1,1,0,1,3
Acer negundo,ACNE,12.0,2,4,4,0,1,1,0,3,3
Acer palmatum,ACPA,6.5,0,5,2,0,1,1,0,1,1
Acer rubrum,ACRU,15.0,2,4,2,0,0,1,0,1,3
Acer saccharinum,ACSA,18.0,2,4,3,0,1,1,0,1,2
Acer saccharum,ACSC,20.5,1,5,3,0,1,1,0,1,2
Acer tataricum,ACTA,5.5,1,4,4,0,1,1,0,2,2
Acer x freemanii,ACFR,15.0,2,2,3,1,1,1,0,1,2
Acer platanoides,ACPL,13.5,2,3,3,0,1,1,0,1,2
Acer platanoides 'Crimson King'/Others,ACPLCK,13.7,1,4,3,0,1,1,0,1,2
Aesculus x carnea 'Briotii',AECABR,10.5,0,3,3,0,0,1,1,4,3
Aesculus glabra,AEGL,9.0,1,4,3,0,0,1,0,4,3
Aesculus hippocastanum,AEHI,19.0,1,4,3,0,0,1,0,4,3
Alnus glutinosa,ALGL,15.0,1,3,3,1,1,1,1,2,2
Amelanchier arborea,AMAR,6.5,0,5,3,0,0,0,0,2,2
Amelanchier canadensis,AMCA,4.0,1,3,3,4,0,0,0,2,1
Amelanchier laevis,AMLA,6.5,1,3,3,4,0,0,0,2,2
Amelanchier x grandiflora,AMGR,6.5,0,3,3,4,0,0,0,2,1
Berberis vulgaris,BEVU,2.4,1,2,4,3,0,1,0,2,1
Betula alleghaniensis,BEAL,20.5,1,3,3,0,1,1,0,2,3
Betula nigra,BENI,16.5,2,2,2,0,1,1,1,2,3
Betula papyrifera,BEPA,18.0,1,2,2,0,0,1,0,2,1
Betula populifolia,BEPO,9.0,1,2,3,1,1,1,0,2,1
Caragana arborescens,CAAB,17.5,1,2,4,3,0,1,1,2,1
Carpinus caroliniana,CACA,7.5,0,5,2,0,1,1,0,2,1
Carya cordiformis,CACO,7.5,0,2,4,0,1,1,0,3,3
Carya glabra,CAGL,16.8,1,3,4,0,1,1,1,3,2
Catalpa speciosa,CTSP,15.0,2,2,5,0,0,0,0,2,3
Celtis occidentalis,CEOC,15.0,2,3,4,0,1,0,0,2,2
Cercidiphyllum japonicum,CEJA,15.0,2,2,2,0,1,1,0,3,3
Cercis canadensis,CECA,7.5,2,3,4,0,0,1,0,2,3
Chamaecyparis nootkatensis,CHNO,22.9,1,4,2,1,1,1,1,5,2
Chamaecyparis pisifera,CHPI,18.3,1,3,3,1,1,1,1,5,3
Cornus florida,COFL,10.7,1,5,3,2,0,1,0,2,2
Cornus rugosa,CORU,1.5,1,3,4,3,0,1,0,2,1
Corylus colurna,COCO,13.5,0,2,4,0,1,0,0,2,3
Cotinus coggygria,CTCO,3.8,1,2,4,3,0,1,0,2,3
Crataegus x mordenensis 'Snowbird',CGMOSN,20.0,1,3,5,3,0,1,0,2,2
Crataegus monogyna,CGMO,7.6,1,2,3,3,0,1,0,1,2
Crataegus puncata,CGPU,7.6,1,4,4,0,0,1,0,2,2
Euonymous alatus,EUAL,5.3,0,4,4,3,1,1,0,2,1
Euonymus atropurpureus,EUAT,4.9,1,3,3,3,0,1,0,2,1
Euonymus europaeus,EUEU,6.4,1,3,3,3,0,1,0,2,1
Fagus grandifolia,FAGR,18.0,1,5,2,0,1,0,0,2,1
Fagus sylvatica,FASY,16.5,1,5,3,0,1,0,0,2,1
Fagus sylvatica 'Riversii',FASYRI,15.2,1,5,3,2,1,0,0,2,1
Fraxinus americana,FRAM,19.5,2,2,3,0,1,1,0,3,2
Fraxinus pennsylvanica,FRPE,16.5,2,3,4,0,1,1,0,3,2
Fraxinus profunda,FRPR,27.4,2,3,2,0,1,1,0,3,2
Ginkgo biloba,GIBI,19.5,0,2,4,0,1,0,0,1,2
Gleditsia triacanthos ,GLTR,15.0,2,2,5,0,1,0,0,3,3
Gymnocladus dioicus,GYDI,20.5,1,3,4,0,1,1,0,3,3
Hydrangea paniculata,HYPA,4.6,2,2,3,3,0,1,1,2,1
Hydrangea quercifolia,HYQU,1.5,0,4,3,3,0,1,1,1,1
Juglans cinerea,JUCI,15.0,1,2,3,0,1,0,0,3,2
Juglans nigra,JUNI,19.0,1,2,3,0,1,0,1,3,2
Juglans regia,JURE,15.2,1,2,3,0,1,0,1,3,2
Juniperus communis,JUCO,2.3,0,2,4,3,1,0,1,5,3
Juniperus scopulorum,JUSC,10.7,0,1,5,1,1,1,1,5,3
Juniperus virginiana,JUVI,13.7,1,1,5,1,1,1,1,5,3
Larix decidua,LADE,22.0,1,2,3,1,1,1,0,5,3
Larix kaempferi,LAKA,18.0,2,2,3,1,1,1,0,5,3
Larix laricina,LALA,12.0,2,1,2,1,1,1,0,5,3
Liquidambar styraciflua 'Moraine',LQSTMO,15.0,1,2,3,1,1,1,0,2,2
Liriodendron tulipifera,LITU,24.0,1,2,3,0,0,1,0,1,2
Linnaea kolkwitzia/amabilis,LIAM,2.4,2,3,4,3,0,1,0,2,1
Lonicera maackii,LOMA,4.1,2,4,4,3,0,1,1,2,1
Lonicera tatarica,LOTA,3.4,2,3,3,3,0,1,1,2,1
Lonicera xylosteum,LOXY,3.4,2,3,3,3,0,1,1,2,1
Lycium chinese,LYCH,1.4,1,2,3,2,0,0,1,2,1
Maackia amurensis,MCAM,7.5,0,2,5,0,0,1,1,3,3
Magnolia acuminata,MGAC,19.5,2,3,2,1,1,1,0,2,2
Magnolia kobus,MGKO,10.5,0,3,3,0,0,1,0,2,1
Magnolia x sunsation,MGXXSN,6.8,0,3,2,1,0,1,1,2,1
Magnolia x soulangeana,MGXXSO,7.6,1,3,2,3,0,1,1,2,1
Magnolia 'Susan' (Stellata),MGXXSU,5.3,0,3,2,3,0,1,1,2,1
Malus baccata,MABA,8.5,1,2,3,0,0,0,0,2,3
Malus coronaria,MACO,7.6,2,3,3,0,0,0,0,2,3
Malus domestica,MADO,7.0,2,2,3,0,0,0,0,2,3
Malus sylvestris,MASY,10.0,2,2,3,0,0,0,0,2,3
Malus 'Louisa',MAXXLO,4.6,1,4,3,2,0,0,1,2,3
Morus alba,MOAL,12.0,2,2,3,0,1,0,0,1,2
Ostrya virginiana,OSVI,10.0,0,5,4,0,0,1,0,2,3
Phellodendron amurensis,PHAM,11.5,1,2,5,0,1,1,0,3,2
Philadelphus coronarius,PHCO,3.4,2,3,3,3,0,1,1,2,3
Philadelphus pubescens,PHPU,2.1,2,3,3,3,0,1,1,2,3
Philadelphus virginalis,PHVI,2.3,1,3,3,3,0,1,1,2,3
Picea abies,PIAB,15.0,0,5,2,1,1,1,1,5,3
Picea engelmannii,PIEN,26.0,1,5,3,1,1,1,1,5,3
Picea glauca,PIGL,15.0,1,5,3,1,1,1,1,5,3
Picea mariana,PIMA,12.0,0,4,2,1,1,1,1,5,3
Picea omorika,PIOM,16.5,0,5,3,1,1,1,1,5,3
Picea pungens ,PIPU,13.5,0,3,3,1,1,1,1,5,3
Picea rubens,PIRU,19.5,0,5,3,1,1,1,1,5,3
Pinus mugo,PNMU,5.5,0,2,5,3,1,1,1,5,3
Pinus nigra 'Austriaca',PNNI,16.8,1,2,4,1,1,1,1,5,3
Pinus resinosa,PNRE,19.5,1,2,3,0,1,1,1,5,3
Pinus strobus,PNST,19.5,2,3,3,1,1,0,1,5,2
Pinus sylvestris,PNSY,13.5,1,2,5,0,1,1,1,5,3
Populus deltoides,PODE,26.5,2,1,2,0,1,1,0,2,2
Populus nigra,PONI,24.4,2,2,2,2,1,1,0,2,2
Prunus cerasifera 'Newport',PRCENE,5.5,0,3,3,0,0,0,0,2,2
Prunus avium/pensylvanica,PRAV,10.7,2,3,3,0,0,0,0,2,1
Prunus cerasifera,PRCE,6.9,2,3,3,0,0,0,0,2,1
Prunus cerasus,PRCR,9.0,1,3,3,0,0,0,0,2,2
Prunus domestica,PRDO,9.0,1,2,3,0,0,0,0,2,1
Prunus maakii 'Jefree' (Goldrush TM),PRMAJE,12.2,1,2,2,0,0,0,0,2,1
Prunus nigra,PRNI,7.6,1,2,2,0,0,0,0,2,1
Prunus padus,PRPA,10.7,2,3,2,0,0,0,0,2,1
Prunus persica,PRPE,6.1,2,2,2,0,0,0,0,2,1
Prunus virginiana 'Canada Red',PRVISC,7.6,2,3,3,0,0,0,0,2,1
Prunus serotina,PRSE,16.5,2,2,3,0,0,0,0,2,3
Prunus virginiana,PRVI,8.5,1,3,3,0,0,0,0,2,1
Pyrus calleryana,PYCA,12.0,2,2,5,1,0,0,0,2,2
Pyrus communis/domestica,PYCO,8.3,2,3,3,0,0,0,0,2,2
Quercus alba,QUAL,19.5,0,3,4,1,1,1,0,1,3
Quercus bicolor,QUBI,16.5,1,3,4,0,1,1,0,1,3
Quercus macrocarpa,QUMA,22.5,1,3,4,0,1,1,0,1,2
Quercus palustris,QUPA,19.5,1,2,3,1,1,1,0,1,2
Quercus robur,QURO,15.0,1,2,3,0,1,1,0,1,2
Quercus robur 'Fastigiata',QUROFA,16.8,1,2,3,1,1,1,0,1,2
Quercus rubra,QURU,20.5,2,3,3,0,1,1,0,1,2
Quercus x warei 'Regal Prince',QUWARP,15.2,2,3,3,1,1,1,0,1,2
Rhamnus cathartica,RHCA,6.5,1,2,4,3,1,1,0,2,1
Rhus typhina,RHTY,6.5,2,2,4,3,1,0,0,3,1
Robinia pseudoacacia,ROPS,12.0,2,1,5,0,0,1,0,3,2
Rosa woodsii,ROWO,2.0,2,3,4,3,0,1,1,2,1
Salix alba 'Tristis',SAALTR,18.0,2,2,2,0,0,1,0,2,2
Salix discolor,SADI,2.9,2,2,2,3,0,1,1,2,1
Sambucus nigra,SANI,4.6,2,2,3,3,0,1,0,3,1
Sorbus aucuparia,SOAU,9.0,1,3,3,3,0,0,0,3,1
Sorbus torminalis,SOTO,18.3,2,3,4,0,0,0,0,3,1
Sorbus xanthocarpa,SOXA,6.0,1,3,3,3,0,1,0,3,1
Syringa reticulata,SYRE,7.5,1,2,3,0,0,1,1,2,1
Syngria vulgaris,SYVU,3.5,1,3,3,3,0,1,0,2,1
Taxus canadensis,TACA,1.4,0,4,3,3,1,1,1,5,3
Thuja occidentalis,THOC,15.0,0,4,3,1,1,1,1,5,3
Tilia americana,TIAM,21.0,1,4,3,0,0,1,0,2,2
Tilia cordata,TICO,19.5,1,5,3,1,0,1,0,2,2
Tilia tomentosa,TITO,18.0,2,4,3,0,0,1,0,2,2
Tilia x europaea 'Wratislaviensis',TIERWR,30.5,1,3,4,0,0,1,0,2,2
Tilia x mongolica 'Harvest Gold',TIMOHG,9.1,0,4,2,0,0,1,0,2,2
Tsuga canadensis,TSCA,16.5,0,5,1,1,1,1,1,5,2
Ulmus americana,ULAM,21.0,2,3,4,0,1,1,0,2,3
Ulmus davidiana 'Discovery',ULMI,24.3,2,3,3,0,1,1,0,2,2
Ulmus pumila,ULPU,18.0,2,3,4,0,1,1,0,2,2
Ulmus 'Frontier',ULXXFR,12.2,1,4,4,4,1,1,0,2,2
Ulmus laevis,ULLA,40.0,2,4,1,0,1,1,0,2,2
Ulmus x 'Homestead',ULXXHO,18.3,2,2,3,0,1,1,0,2,2
Vitis labrusca 'Concord',VILACO,5.3,1,2,4,2,1,0,0,1,1
Viburnum lentago,VILE,5.0,1,4,2,3,0,1,0,2,1
Viburnum opulus,VIOP,3.0,1,3,2,3,0,1,0,1,1
Weigela florida,WEFL,2.3,1,3,4,3,0,1,1,2,1

















































































































































































































































































































































































































































































































































































































































































































