Site:,Site Code:,Species Code:,Species latin,Latitude,Longitude,DBH,DBH Round,Index
St. Luc Annexe,I10,GLTR,Gleditsia Triacanthos,45.457314,-73.643746,7.5,8,406
St. Luc Annexe,I10,GLTR,Gleditsia Triacanthos,45.457361,-73.643717,5.6,6,407
St. Luc Annexe,I10,GLTR,Gleditsia Triacanthos,45.457354,-73.643816,7.3,7,408
St. Luc Annexe,I10,GLTR,Gleditsia Triacanthos,45.457356,-73.644167,6.7,7,409
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457383,-73.644173,6.5,7,410
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457399,-73.644156,6,6,411
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457399,-73.64415,5.5,6,412
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457407,-73.644143,5.3,5,413
St. Luc Annexe,I10,ACPL,Acer Platanoides,45.457437,-73.644118,45.2,45,414
St. Luc Annexe,I10,ACPL,Acer Platanoides,45.457532,-73.644022,35.1,35,415
St. Luc Annexe,I10,ACPL,Acer Platanoides,45.457596,-73.644003,27.7,28,416
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.45748,-73.644075,5.7,6,417
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457488,-73.644066,6.2,6,418
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457507,-73.644055,5.1,5,419
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457562,-73.644028,6.8,7,420
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457576,-73.644016,8.3,8,421
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.4576,-73.643999,7.5,8,422
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457601,-73.643988,6.7,7,423
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457637,-73.643966,8.8,9,424
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457649,-73.643957,10.1,10,425
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457654,-73.64395,8.9,9,426
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457662,-73.643947,6.7,7,427
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457664,-73.643939,9.6,10,428
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457675,-73.643932,5.4,5,429
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457695,-73.643918,7.1,7,430
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457709,-73.643905,6.3,6,431
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457717,-73.643898,5.9,6,432
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457731,-73.643885,8.4,8,433
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.45774,-73.64388,6.7,7,434
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457751,-73.643871,7.3,7,435
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457758,-73.643864,5.9,6,436
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457764,-73.643862,6.9,7,437
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457774,-73.643854,10.5,11,438
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457785,-73.643845,7.4,7,439
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457793,-73.643838,9.8,10,440
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457802,-73.643833,7.6,8,441
St. Luc Annexe,I10,THOC,Thuja Occidentalis,45.457811,-73.643822,11.3,11,442
Loyola High School,I11,ACSA,Acer Saccharinum,45.4570497,-73.6396049,75.4,75,443
Loyola High School,I11,QUMA,Quercus Macrocarpa,45.4560998,-73.6396197,64.9,65,444
Loyola High School,I11,JUVI,Juniperus Virginiana,45.4569859,-73.6395567,9.6,10,445
Loyola High School,I11,JUVI,Juniperus Virginiana,45.4569678,-73.6395654,20.8,21,446
Loyola High School,I11,JUVI,Juniperus Virginiana,45.456958,-73.639571,6.5,7,447
Loyola High School,I11,ACPL,Acer Platanoides,45.4570471,-73.639379,15.1,15,448
Loyola High School,I11,MABA,Malus 'Prairiefire',45.456988,-73.6389867,32.2,32,449
Loyola High School,I11,SYVU,Syringa Vulgaris,45.4569396,-73.6389377,33.3,33,450
Loyola High School,I11,SYVU,Syringa Vulgaris,45.456928,-73.638911,26.9,27,451
Loyola High School,I11,SYVU,Syringa Vulgaris,45.456919,-73.638898,16.2,16,452
Loyola High School,I11,SYVU,Syringa Vulgaris,45.456911,-73.638877,41.1,41,453
Loyola High School,I11,SYVU,Syringa Vulgaris,45.456903,-73.638856,20.4,20,454
Loyola High School,I11,SYVU,Syringa Vulgaris,45.456909,-73.63884,22.3,22,455
Loyola High School,I11,JUCO,Juniperus Communis,45.4569532,-73.639609,8.3,8,456
Loyola High School,I11,JUCO,Juniperus Communis,45.4569137,-73.6396391,10.4,10,457
Loyola High School,I11,JUVI,Juniperus Virginiana,45.456908,-73.639677,8.5,9,458
Loyola High School,I11,JUVI,Juniperus Virginiana,45.45691,-73.639704,6.2,6,459
Loyola High School,I11,QUMA,Quercus Macrocarpa,45.4569297,-73.6397555,58.2,58,460
Loyola High School,I11,ACPL,Acer Platanoides,45.4568556,-73.6398038,33.7,34,461
Loyola High School,I11,ACPL,Acer Platanoides,45.456806,-73.639868,24.6,25,462
Loyola High School,I11,ACPL,Acer Platanoides,45.456727,-73.639949,35.5,36,463
Loyola High School,I11,ACPL,Acer Platanoides,45.456671,-73.639989,36.6,37,464
Loyola High School,I11,ACPL,Acer Platanoides,45.456631,-73.639979,33.4,33,465
Loyola High School,I11,JUVI,Juniperus Virginiana,45.4565755,-73.6399074,18.3,18,466
Loyola High School,I11,TICO,Tilia Cordata,45.4564725,-73.6398939,46.3,46,467
Loyola High School,I11,TICO,Tilia Cordata,45.4564123,-73.6397166,49.5,50,468
Loyola High School,I11,JUVI,Juniperus Virginiana,45.4564145,-73.6395858,16.4,16,469
Loyola High School,I11,TIAM,Tilia Americana,45.4562122,-73.6392291,66.4,66,470
Loyola High School,I11,ACSA,Acer Saccharinum,45.4562018,-73.6390675,92,92,471
St. Catherine de Sienne School,I12,GLTR,Gleditsia Triacanthos,45.461346,-73.6434784,24.5,25,472
St. Catherine de Sienne School,I12,GLTR,Gleditsia Triacanthos,45.4612853,-73.6435243,20.9,21,473
St. Catherine de Sienne School,I12,GLTR,Gleditsia Triacanthos,45.4612253,-73.6435676,21.7,22,474
St. Catherine de Sienne School,I12,MABA,Malus Robusta 'Erecta',45.4609946,-73.6437332,64.8,65,475
St. Catherine de Sienne School,I12,MCAM,Maackia Amurensis,45.4608808,-73.6438368,6.7,7,476
St. Catherine de Sienne School,I12,AMGR,Amelanchier x grandiflora,45.4608093,-73.6438821,9.3,9,477
St. Catherine de Sienne School,I12,MCAM,Maackia Amurensis,45.4606193,-73.6440212,5.2,5,478
St. Catherine de Sienne School,I12,ACSC,Acer Saccharum,45.4608265,-73.6446532,54.2,54,481
St. Catherine de Sienne School,I12,QUBI,Quercus Bicolor,45.4609499,-73.6445328,5.9,6,483
St. Catherine de Sienne School,I12,ACRU,Acer Rubrum,45.4609257,-73.6444309,7.5,8,484
St. Catherine de Sienne School,I12,CEOC,Celtis Occidentalis,45.4608968,-73.6444078,6.8,7,485
St. Catherine de Sienne School,I12,ULPU,Ulmus Pumila,45.4611663,-73.6443816,6.1,6,486
St. Catherine de Sienne School,I12,ALGL,Alnus Glutinosa,45.4612331,-73.6443364,5.3,5,487
St. Catherine de Sienne School,I12,TICO,Tilia Cordata,45.4612695,-73.6443216,10.7,11,488
St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.461341,-73.6442609,10.7,11,490
St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.4613695,-73.6442418,6.8,7,491
St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.4613951,-73.6442234,10.1,10,492
St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.4614283,-73.6441888,9.7,10,493
St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.4614534,-73.6441721,9.6,10,494
St. Catherine de Sienne School,I12,TICO,Tilia Cordata,45.4615129,-73.6441265,8.6,9,496
St. Catherine de Sienne School,I12,ALGL,Alnus Glutinosa,45.4615614,-73.6440903,5,5,497
St. Catherine de Sienne School,I12,PNRE,Pinus Resinosa,45.4615614,-73.6440903,5.3,5,498
St. Catherine de Sienne School,I12,PNRE,Pinus Resinosa,45.4616686,-73.6440219,6,6,499
St. Catherine de Sienne School,I12,AMAR,Amelanchier Arborea,45.461642,-73.6437818,6.1,6,501
St. Catherine de Sienne School,I12,GIBI,Ginkgo Biloba,45.4615517,-73.643584,7.6,8,503
Greaves Academy,I13,ACNE,Acer Negundo,45.4641248,-73.6233886,14.5,15,504
Greaves Academy,I13,FRPE,Fraxinus Pennsylvanica,45.4641382,-73.6233048,32.2,32,505
Greaves Academy,I13,TICO,Tilia Cordata,45.4640926,-73.62317,66.1,66,506
Willingdon Senior Campus,I14,MABA,Malus x Centurion,45.4619731,-73.6432661,28,28,507
Willingdon Senior Campus,I14,MABA,Malus x Rosthurn,45.4619315,-73.6431367,24,24,508
Willingdon Senior Campus,I14,GLTR,Gleditsia Triacanthos,45.4618546,-73.6418546,20,20,509
Willingdon Senior Campus,I14,GLTR,Gleditsia Triacanthos,45.461758,-73.6431813,27,27,510
Willingdon Senior Campus,I14,GLTR,Gleditsia Triacanthos,45.4616952,-73.6432212,24.6,25,511
Willingdon Senior Campus,I14,GLTR,Gleditsia Triacanthos,45.461614,-73.6432729,41.8,42,512
Willingdon Senior Campus,I14,GLTR,Gleditsia Triacanthos,45.4615903,-73.6432786,82.7,83,513
Willingdon Senior Campus,I14,GLTR,Gleditsia Triacanthos,45.4615679,-73.6433121,7.3,7,514
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4624808,-73.6395701,41.8,42,515
Judith Jasmine School,I15,ACSA,Acer Saccharinum,45.4625857,-73.6398534,82.7,83,516
Judith Jasmine School,I15,GLTR,Gleditsia Triacanthos,45.4625857,-73.6398534,7.3,7,517
Judith Jasmine School,I15,PIPU,Picea Pungens,45.4628606,-73.6402249,33.4,33,518
Judith Jasmine School,I15,SYVU,Syringa Vulgaris,45.4628827,-73.6402178,17.4,17,519
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4629128,-73.6402872,12.5,13,520
Judith Jasmine School,I15,PIPU,Picea Pungens,45.4628912,-73.6402979,37.2,37,521
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4628361,-73.6405008,65.5,66,522
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4629043,-73.6406607,70.6,71,523
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4629824,-73.6408032,84.7,85,524
Judith Jasmine School,I15,ACGI,Acer Ginnala,45.4631099,-73.6408988,6.2,6,525
Judith Jasmine School,I15,GIBI,Ginkgo Biloba,45.4630925,-73.6409822,5.6,6,526
Judith Jasmine School,I15,ACRU,Acer Rubrum,45.4631393,-73.6410201,6.2,6,527
Judith Jasmine School,I15,GLTR,Gleditsia Triacanthos,45.4631315,-73.6410848,8.5,9,528
Judith Jasmine School,I15,GLTR,Gleditsia Triacanthos,45.4631432,-73.639911,7.5,8,529
Judith Jasmine School,I15,ULPU,Ulmus Pumila,45.4631703,-73.6398349,8.3,8,530
Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.4632406,-73.6398467,5.5,6,531
Judith Jasmine School,I15,GLTR,Gleditsia Triacanthos,45.4632641,-73.6397508,7.7,8,532
Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.4636277,-73.6406332,31.9,32,533
Judith Jasmine School,I15,ACGI,Acer Ginnala,45.463596,-73.640684,5.8,6,534
Judith Jasmine School,I15,ACGI,Acer Ginnala,45.4635569,-73.6407087,6.4,6,535
Judith Jasmine School,I15,CEOC,Celtis Occidentalis,"45.463581,",-73.640511,9.5,10,536
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.463531,-73.640393,10.5,11,537
Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463497,-73.640393,23.5,24,538
Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463452,-73.640168,23.3,23,539
Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463405,-73.640058,9.3,9,540
Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463304,-73.63981,19,19,541
Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463261,-73.639681,23.6,24,542
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.463225,-73.639563,27.3,27,543
Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463161,-73.639456,26.6,27,544
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.463139,-73.639367,30.3,30,545
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.463096,-73.639238,30.7,31,546
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.46303,-73.639136,56.9,57,547
Judith Jasmine School,I15,ACSA,Acer Saccharinum,45.462725,-73.639323,13.8,14,548
Judith Jasmine School,I15,ACNE,Acer Negundo,45.4627136,-73.6393381,15.3,15,549
Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4626534,-73.6393662,8.6,9,550
Judith Jasmine School,I15,FRPE,Fraxinus Pennsylvanica,45.4626217,-73.6394038,25.4,25,551
Judith Jasmine School,I15,ULAM,Ulmus Americana,45.4625794,-73.6394313,105.6,106,552
St. Monica School,I16,ACSA,Acer Saccharinum,45.466535,-73.634413,71.9,72,553
St. Monica School,I16,FRAM,Fraxinus Americana,45.46641,-73.6346757,7.4,7,554
St. Monica School,I16,ULAM,Ulmus Americana,45.4666843,-73.634732,4.5,5,555
St. Monica School,I16,FRAM,Fraxinus Americana,45.4667071,-73.6347954,13.7,14,556
St. Monica School,I16,ACSA,Acer Saccharinum,45.466634,-73.634674,13.2,13,557
St. Monica School,I16,ULAM,Ulmus Americana,45.4667364,-73.634674,71.5,72,558
St. Monica School,I16,ACSA,Acer Saccharinum,45.4667398,-73.6349386,48.3,48,559
St. Monica School,I16,PRCO,Prunus Domestica,45. 4667769,-73.6349526,3.7,4,560
St. Monica School,I16,PRCO,Prunus Domestica,45.4668204,-73.6349868,5.5,6,561
St. Monica School,I16,ULXXHO,Ulmus 'Homestead',45.4668703,-73.6350009,25.6,26,562
St. Monica School,I16,ULAM,Ulmus Americana,45.4668623,-73.6348376,20.4,20,563
St. Monica School,I16,PRAV,Prunus Avium,45.4669168,-73.6348413,9.3,9,564
St. Monica School,I16,ULXXHO,Ulmus 'Homestead',45.4669568,-73.6349144,27.9,28,565
St. Monica School,I16,PRAV,Prunus Avium,45.4669538,-73.6348574,16.7,17,566
St. Monica School,I16,ACFR,Acer Freemannii,45.4669686,-73.6345778,84.6,85,567
St. Monica School,I16,PODE,Populus Deltoides,45.4670205,-73.6346013,72.3,72,568
St. Monica School,I16,ULXXHO,Ulmus 'Homestead',45.4670332,-73.6348464,27.9,28,569
St. Monica School,I16,ULXXHO,Ulmus 'Homestead',45.4671162,-73.6347163,45.2,45,570
St. Monica School,I16,PRCO,Prunus Domestica,45.4671162,-73.6347163,19.2,19,571
St. Monica School,I16,PRCO,Prunus Domestica,45.4670953,-73.6346593,8.1,8,572
St. Monica School,I16,PRVI,Prunus Virginiana,45.467159,-73.6346804,14.1,14,573
St. Monica School,I16,PRVI,Prunus Virginiana,45.4671715,-73.6346512,16.3,16,574
St. Monica School,I16,SYVU,Syngria Vulgaris,45.4671593,-73.6345634,24.4,24,575
St. Monica School,I16,PIPU,Picea Pungens,45.4672288,-73.6345822,41,41,577
St. Monica School,I16,PIPU,Picea Pungens,45.4672181,-73.6345493,11,11,578
St. Monica School,I16,PIPU,Picea Pungens,45.4672576,-73.634556,35,35,579
St. Monica School,I16,CAAB,Caragana Aborescens,45.4673116,-73.6345131,79.3,79,580
St. Monica School,I16,QURU,Quercas Rubra,45.4673485,-73.634551,4.9,5,581
St. Monica School,I16,QURU,Quercas Rubra,45.4674226,-73.6344749,4.8,5,582
St. Monica School,I16,ACRU,Acer Rubrum,45.4674217,-73.6344132,15.2,15,583
St. Monica School,I16,ACNE,Acer Negundo,45.46746,-73.634273,63.1,63,584
St. Monica School,I16,PIPU,Picea Pungens,45.46748,-73.634342,29.4,29,585
St. Monica School,I16,PIPU,Picea Pungens,45.4675014,-73.634338,24.6,25,586
St. Monica School,I16,EUAL,Euonymus Alatus,45.4674894,-73.634223,11.4,11,587
St. Monica School,I16,EUAL,Euonymus Alatus,45.4674875,-73.634221,12.5,13,588
St. Monica School,I16,EUAL,Euonymus Alatus,45.4674675,-73.63424,18.6,19,589
St. Monica School,I16,ACNE,Acer Negundo,45.4675585,-73.634175,79.4,79,590
St. Monica School,I16,ACNE,Acer Negundo,45.4676107,-73.633984,103.6,104,591
St. Monica School,I16,ACNE,Acer Negundo,45.4677031,-73.633963,89.7,90,592
St. Monica School,I16,ULXXHO,Ulmus 'Homestead',45.4676601,-73.634245,21.9,22,593
St. Monica School,I16,ULXXHO,Ulmus 'Homestead',45.4677179,-73.634201,20,20,594
St. Monica School,I16,ACFR,Acer Freemannii,45.4678228,-73.633919,9.7,10,595
St. Monica School,I16,FRPE,Fraxinus Pennsylvanica,45.4678285,-73.633904,5.4,5,596
St. Monica School,I16,ACNE,Acer Negundo,45.4678407,-73.633895,9,9,597
St. Monica School,I16,ACSA,Acer Saccharinum,45.4679352,-73.633917,73.8,74,598
St. Monica School,I16,ACSA,Acer Saccharinum,45.4679035,-73.633806,34.7,35,599
St. Monica School,I16,ACSA,Acer Saccharinum,45.4678101,-73.633638,46.4,46,600
St. Monica School,I16,ACSA,Acer Saccharinum,45.467768,-73.633556,41.7,42,601
St. Monica School,I16,ACSA,Acer Saccharinum,45.4677424,-73.63344,45.3,45,602
St. Monica School,I16,ACSA,Acer Saccharinum,45.4677074,-73.633381,48.6,49,603
St. Monica School,I16,ULAM,Ulmus Americana,45.4676846,-73.633377,13.7,14,604
St. Monica School,I16,ACSA,Acer Saccharinum,45.4676601,-73.633325,61.5,62,605
St. Monica School,I16,ULAM,Ulmus Americana,45.4676488,-73.633335,14.8,15,606
St. Monica School,I16,ACNE,Acer Negundo,45.4674433,-73.633518,6.9,7,607
St. Monica School,I16,ACNE,Acer Negundo,45.4674602,-73.633496,21.6,22,608
St. Monica School,I16,ACNE,Acer Negundo,45.4674751,-73.633481,7.8,8,609
St. Monica School,I16,ACNE,Acer Negundo,45.4674875,-73.63347,4.7,5,610
St. Monica School,I16,FRAM,Fraxinus Americana,45.4675073,-73.633448,15.1,15,611
St. Monica School,I16,ULAM,Ulmus Americana,45.4675183,-73.63344,7.4,7,612
St. Monica School,I16,ULPU,Ulmus Pumila,45.4675381,-73.633426,18.1,18,613
St. Monica School,I16,ULPU,Ulmus Pumila,45.4675454,-73.633421,9.8,10,614
St. Monica School,I16,FRAM,Fraxinus Americana,45.4675573,-73.633396,14.5,15,615
St. Monica School,I16,ULPU,Ulmus Pumila,45.4675839,-73.633378,34.7,35,616
St. Monica School,I16,ULPU,Ulmus Pumila,45.467278,-73.633664,24.3,24,617
St. Monica School,I16,CEOC,Celtis Occidentalis,45.4672559,-73.633688,11.3,11,618