Latin Name,Species Code,Max DBH
Abies balsamea,ABBA,28.0
Acer x freemanii,ACFR,52.6
Acer ginnala,ACGI,40.0
Acer miyabei 'Morton' (State Street TM),ACMIMO,39.8
Acer negundo,ACNE,60.0
Acer palmatum,ACPA,52.7
Acer platanoides,ACPL,67.0
Acer platanoides 'Crimson King'/Others,ACPLCK,67.0
Acer rubrum,ACRU,67.0
Acer saccharinum,ACSA,90.0
Acer saccharum,ACSC,59.0
Acer tataricum,ACTA,42.0
Aesculus x carnea 'Briotii',AECABR,42.6
Aesculus glabra,AEGL,41.0
Aesculus hippocastanum,AEHI,64.0
Alnus glutinosa,ALGL,9.0
Amelanchier arborea,AMAR,14.6
Amelanchier canadensis,AMCA,15.9
Amelanchier x grandiflora,AMGR,11.0
Amelanchier laevis,AMLA,9.0
Betula alleghaniensis,BEAL,27.0
Betula nigra,BENI,21.0
Betula papyrifera,BEPA,38.0
Betula populifolia,BEPO,34.0
Berberis vulgaris,BEVU,
Caragana arborescens,CAAB,30.9
Carpinus caroliniana,CACA,22.0
Carya cordiformis,CACO,54.0
Carya glabra,CAGL,33.5
Cercis canadensis,CECA,
Cercidiphyllum japonicum,CEJA,
Celtis occidentalis,CEOC,46.0
Crataegus monogyna,CGMO,31.0
Crataegus x mordenensis 'Snowbird',CGMOSN,38.0
Crataegus puncata,CGPU,31.0
Chamaecyparis nootkatensis,CHNO,
Chamaecyparis pisifera,CHPI,
Corylus colurna,COCO,33.0
Cornus florida,COFL,
Cornus rugosa,CORU,
Cotinus coggygria,CTCO,35.6
Catalpa speciosa,CTSP,65.0
Euonymous alatus,EUAL,32.2
Euonymus atropurpureus,EUAT,
Euonymus europaeus,EUEU,
Fagus grandifolia,FAGR,50.0
Fagus sylvatica,FASY,
Fagus sylvatica 'Riversii',FASYRI,
Fraxinus americana,FRAM,55.0
Fraxinus pennsylvanica,FRPE,57.0
Fraxinus profunda,FRPR,52.0
Ginkgo biloba,GIBI,23.0
Gleditsia triacanthos ,GLTR,45.0
Gymnocladus dioicus,GYDI,50.0
Hydrangea paniculata,HYPA,
Hydrangea quercifolia,HYQU,
Juglans cinerea,JUCI,31.0
Juniperus communis,JUCO,32.3
Juglans nigra,JUNI,50.0
Juglans regia,JURE,49.8
Juniperus scopulorum,JUSC,32.3
Juniperus virginiana,JUVI,30.9
Larix decidua,LADE,45.0
Larix kaempferi,LAKA,50.5
Larix laricina,LALA,35.0
Linnaea kolkwitzia/amabilis,LIAM,
Liriodendron tulipifera,LITU,
Lonicera maackii,LOMA,
Lonicera tatarica,LOTA,
Lonicera xylosteum,LOXY,48.6
Liquidambar styraciflua 'Moraine',LQSTMO,
Lycium chinese,LYCH,
Malus baccata,MABA,40.0
Malus coronaria,MACO,36.0
Malus domestica,MADO,36.0
Malus sylvestris,MASY,36.0
Malus 'Louisa',MAXXLO,36.0
Maackia amurensis,MCAM,30.0
Magnolia acuminata,MGAC,28.6
Magnolia kobus,MGKO,28.6
Magnolia x sunsation,MGXXSN,28.6
Magnolia x soulangeana,MGXXSO,28.6
Magnolia 'Susan' (Stellata),MGXXSU,28.6
Morus alba,MOAL,59.4
Ostrya virginiana,OSVI,24.4
Phellodendron amurensis,PHAM,41.0
Philadelphus coronarius,PHCO,
Philadelphus pubescens,PHPU,
Philadelphus virginalis,PHVI,
Picea abies,PIAB,40.0
Picea engelmannii,PIEN,38.0
Picea glauca,PIGL,40.0
Picea mariana,PIMA,39.0
Picea omorika,PIOM,38.0
Picea pungens ,PIPU,42.0
Picea rubens,PIRU,39.0
Pinus mugo,PNMU,25.2
Pinus nigra 'Austriaca',PNNI,38.0
Pinus resinosa,PNRE,58.0
Pinus strobus,PNST,44.0
Pinus sylvestris,PNSY,42.0
Populus deltoides,PODE,105.0
Populus nigra,PONI,56.3
Prunus avium/pensylvanica,PRAV,30.0
Prunus cerasifera,PRCE,30.0
Prunus cerasifera 'Newport',PRCENE,30.0
Prunus cerasus,PRCR,30.0
Prunus domestica,PRDO,30.0
Prunus maakii 'Jefree' (Goldrush TM),PRMAJE,30.0
Prunus nigra,PRNI,30.0
Prunus padus,PRPA,30.0
Prunus persica,PRPE,30.0
Prunus serotina,PRSE,47.0
Prunus virginiana,PRVI,38.0
Prunus virginiana 'Canada Red',PRVISC,38.0
Pyrus calleryana,PYCA,30.0
Pyrus communis/domestica,PYCO,30.0
Quercus alba,QUAL,63.0
Quercus bicolor,QUBI,67.7
Quercus macrocarpa,QUMA,64.0
Quercus palustris,QUPA,67.7
Quercus robur,QURO,46.0
Quercus robur 'Fastigiata',QUROFA,46?
Quercus rubra,QURU,55.0
Quercus x warei 'Regal Prince',QUWARP,67.7
Rhamnus cathartica,RHCA,29.0
Rhus typhina,RHTY,18.0
Robinia pseudoacacia,ROPS,65.0
Rosa woodsii,ROWO,
Salix alba 'Tristis',SAALTR,48.0
Salix discolor,SADI,78.4
Sambucus nigra,SANI,
Sorbus aucuparia,SOAU,22.0
Sorbus torminalis,SOTO,20.0
Sorbus xanthocarpa,SOXA,20.0
Syringa reticulata,SYRE,25.0
Syngria vulgaris,SYVU,20.0
Taxus canadensis,TACA,56.3
Thuja occidentalis,THOC,37.0
Tilia americana,TIAM,72.0
Tilia cordata,TICO,68.0
Tilia x europaea 'Wratislaviensis',TIERWR,37.0
Tilia x mongolica 'Harvest Gold',TIMOHG,37.0
Tilia tomentosa,TITO,28.3
Tsuga canadensis,TSCA,50.0
Ulmus americana,ULAM,68.0
Ulmus laevis,ULLA,37.1
Ulmus davidiana 'Discovery',ULMI,37.1
Ulmus pumila,ULPU,72.0
Ulmus 'Frontier',ULXXFR,37.1
Ulmus x 'Homestead',ULXXHO,37.1
Vitis labrusca 'Concord',VILACO,
Viburnum lentago,VILE,44.3
Viburnum opulus,VIOP,
Weigela florida,WEFL,



































































