"Var1","Var2","Freq"
"ACFR","P1",2
"ACGI","P1",0
"ACNE","P1",2
"ACPL","P1",6
"ACRU","P1",0
"ACSA","P1",23
"ACSC","P1",3
"ACTA","P1",0
"AEHI","P1",0
"AMAR","P1",0
"AMCA","P1",0
"BEAL","P1",0
"BENI","P1",1
"BEVU","P1",0
"CAAR","P1",27
"CACA","P1",0
"CAGL","P1",1
"CEJA","P1",0
"CEOC","P1",2
"CGMO","P1",0
"CGPU","P1",0
"COCO","P1",0
"CTSP","P1",1
"EUAL","P1",1
"FRAM","P1",2
"FRPE","P1",0
"GIBI","P1",0
"GLTR","P1",3
"GYDI","P1",5
"HYPA","P1",0
"JUCI","P1",3
"JUNI","P1",4
"LADE","P1",4
"LALA","P1",3
"LITU","P1",1
"LOXY","P1",0
"MABA","P1",13
"MASY","P1",0
"PHAM","P1",1
"PHPU","P1",0
"PIAB","P1",15
"PIGL","P1",8
"PIOM","P1",1
"PIPU","P1",10
"PIRU","P1",0
"PIST","P1",2
"PNNI","P1",51
"PNRE","P1",0
"PNSY","P1",25
"PODE","P1",2
"PRNI","P1",0
"PRPA","P1",0
"PRSE","P1",0
"PRVI","P1",0
"PRVISC","P1",1
"PYCA","P1",0
"PYCO","P1",0
"QUBI","P1",1
"QUMA","P1",4
"QUPA","P1",0
"QURU","P1",0
"RHCA","P1",0
"RHTY","P1",8
"ROPS","P1",1
"SAALTR","P1",0
"SOAU","P1",1
"SYRE","P1",0
"SYVU","P1",0
"TACA","P1",0
"THOC","P1",61
"TIAM","P1",4
"TICO","P1",3
"TIERWR","P1",0
"TIMOHG","P1",1
"TITO","P1",0
"ULAM","P1",0
"ULLA","P1",0
"ULMI","P1",0
"ULPU","P1",2
"ULXXFR","P1",2
"ULXXHO","P1",0
"VILE","P1",7
"ACFR","P2",0
"ACGI","P2",5
"ACNE","P2",11
"ACPL","P2",1
"ACRU","P2",0
"ACSA","P2",17
"ACSC","P2",2
"ACTA","P2",8
"AEHI","P2",0
"AMAR","P2",0
"AMCA","P2",0
"BEAL","P2",0
"BENI","P2",0
"BEVU","P2",0
"CAAR","P2",0
"CACA","P2",0
"CAGL","P2",0
"CEJA","P2",0
"CEOC","P2",0
"CGMO","P2",0
"CGPU","P2",0
"COCO","P2",0
"CTSP","P2",3
"EUAL","P2",0
"FRAM","P2",1
"FRPE","P2",6
"GIBI","P2",0
"GLTR","P2",0
"GYDI","P2",0
"HYPA","P2",0
"JUCI","P2",0
"JUNI","P2",3
"LADE","P2",0
"LALA","P2",0
"LITU","P2",0
"LOXY","P2",0
"MABA","P2",0
"MASY","P2",3
"PHAM","P2",0
"PHPU","P2",3
"PIAB","P2",0
"PIGL","P2",0
"PIOM","P2",0
"PIPU","P2",0
"PIRU","P2",0
"PIST","P2",0
"PNNI","P2",0
"PNRE","P2",0
"PNSY","P2",0
"PODE","P2",0
"PRNI","P2",0
"PRPA","P2",0
"PRSE","P2",1
"PRVI","P2",1
"PRVISC","P2",0
"PYCA","P2",0
"PYCO","P2",0
"QUBI","P2",0
"QUMA","P2",1
"QUPA","P2",0
"QURU","P2",0
"RHCA","P2",2
"RHTY","P2",0
"ROPS","P2",0
"SAALTR","P2",0
"SOAU","P2",0
"SYRE","P2",15
"SYVU","P2",0
"TACA","P2",0
"THOC","P2",1
"TIAM","P2",18
"TICO","P2",8
"TIERWR","P2",0
"TIMOHG","P2",0
"TITO","P2",0
"ULAM","P2",0
"ULLA","P2",0
"ULMI","P2",1
"ULPU","P2",0
"ULXXFR","P2",0
"ULXXHO","P2",0
"VILE","P2",0
"ACFR","P3",0
"ACGI","P3",0
"ACNE","P3",3
"ACPL","P3",2
"ACRU","P3",0
"ACSA","P3",0
"ACSC","P3",0
"ACTA","P3",0
"AEHI","P3",0
"AMAR","P3",0
"AMCA","P3",0
"BEAL","P3",0
"BENI","P3",0
"BEVU","P3",0
"CAAR","P3",0
"CACA","P3",0
"CAGL","P3",0
"CEJA","P3",0
"CEOC","P3",6
"CGMO","P3",0
"CGPU","P3",0
"COCO","P3",0
"CTSP","P3",0
"EUAL","P3",0
"FRAM","P3",0
"FRPE","P3",1
"GIBI","P3",0
"GLTR","P3",3
"GYDI","P3",0
"HYPA","P3",0
"JUCI","P3",1
"JUNI","P3",0
"LADE","P3",0
"LALA","P3",0
"LITU","P3",0
"LOXY","P3",0
"MABA","P3",2
"MASY","P3",1
"PHAM","P3",0
"PHPU","P3",0
"PIAB","P3",2
"PIGL","P3",0
"PIOM","P3",0
"PIPU","P3",0
"PIRU","P3",0
"PIST","P3",0
"PNNI","P3",0
"PNRE","P3",0
"PNSY","P3",0
"PODE","P3",0
"PRNI","P3",0
"PRPA","P3",0
"PRSE","P3",0
"PRVI","P3",0
"PRVISC","P3",0
"PYCA","P3",0
"PYCO","P3",0
"QUBI","P3",0
"QUMA","P3",0
"QUPA","P3",0
"QURU","P3",0
"RHCA","P3",0
"RHTY","P3",0
"ROPS","P3",0
"SAALTR","P3",1
"SOAU","P3",0
"SYRE","P3",0
"SYVU","P3",0
"TACA","P3",0
"THOC","P3",35
"TIAM","P3",0
"TICO","P3",0
"TIERWR","P3",0
"TIMOHG","P3",0
"TITO","P3",0
"ULAM","P3",0
"ULLA","P3",0
"ULMI","P3",0
"ULPU","P3",0
"ULXXFR","P3",0
"ULXXHO","P3",0
"VILE","P3",0
"ACFR","P4",0
"ACGI","P4",0
"ACNE","P4",0
"ACPL","P4",0
"ACRU","P4",0
"ACSA","P4",0
"ACSC","P4",0
"ACTA","P4",0
"AEHI","P4",0
"AMAR","P4",0
"AMCA","P4",0
"BEAL","P4",0
"BENI","P4",0
"BEVU","P4",0
"CAAR","P4",0
"CACA","P4",0
"CAGL","P4",0
"CEJA","P4",0
"CEOC","P4",2
"CGMO","P4",0
"CGPU","P4",0
"COCO","P4",2
"CTSP","P4",0
"EUAL","P4",0
"FRAM","P4",0
"FRPE","P4",4
"GIBI","P4",1
"GLTR","P4",0
"GYDI","P4",0
"HYPA","P4",0
"JUCI","P4",0
"JUNI","P4",0
"LADE","P4",0
"LALA","P4",0
"LITU","P4",0
"LOXY","P4",0
"MABA","P4",7
"MASY","P4",0
"PHAM","P4",0
"PHPU","P4",0
"PIAB","P4",0
"PIGL","P4",0
"PIOM","P4",0
"PIPU","P4",5
"PIRU","P4",0
"PIST","P4",0
"PNNI","P4",1
"PNRE","P4",0
"PNSY","P4",0
"PODE","P4",0
"PRNI","P4",0
"PRPA","P4",0
"PRSE","P4",0
"PRVI","P4",1
"PRVISC","P4",0
"PYCA","P4",0
"PYCO","P4",2
"QUBI","P4",0
"QUMA","P4",1
"QUPA","P4",3
"QURU","P4",1
"RHCA","P4",0
"RHTY","P4",1
"ROPS","P4",0
"SAALTR","P4",0
"SOAU","P4",0
"SYRE","P4",0
"SYVU","P4",0
"TACA","P4",5
"THOC","P4",3
"TIAM","P4",0
"TICO","P4",2
"TIERWR","P4",1
"TIMOHG","P4",0
"TITO","P4",0
"ULAM","P4",0
"ULLA","P4",0
"ULMI","P4",0
"ULPU","P4",4
"ULXXFR","P4",0
"ULXXHO","P4",0
"VILE","P4",0
"ACFR","P5",10
"ACGI","P5",0
"ACNE","P5",0
"ACPL","P5",47
"ACRU","P5",1
"ACSA","P5",6
"ACSC","P5",18
"ACTA","P5",2
"AEHI","P5",0
"AMAR","P5",2
"AMCA","P5",0
"BEAL","P5",0
"BENI","P5",1
"BEVU","P5",5
"CAAR","P5",0
"CACA","P5",1
"CAGL","P5",0
"CEJA","P5",3
"CEOC","P5",15
"CGMO","P5",1
"CGPU","P5",5
"COCO","P5",7
"CTSP","P5",1
"EUAL","P5",0
"FRAM","P5",6
"FRPE","P5",24
"GIBI","P5",3
"GLTR","P5",18
"GYDI","P5",7
"HYPA","P5",0
"JUCI","P5",0
"JUNI","P5",8
"LADE","P5",0
"LALA","P5",7
"LITU","P5",0
"LOXY","P5",2
"MABA","P5",18
"MASY","P5",3
"PHAM","P5",0
"PHPU","P5",0
"PIAB","P5",17
"PIGL","P5",0
"PIOM","P5",0
"PIPU","P5",4
"PIRU","P5",1
"PIST","P5",0
"PNNI","P5",8
"PNRE","P5",0
"PNSY","P5",2
"PODE","P5",0
"PRNI","P5",1
"PRPA","P5",1
"PRSE","P5",0
"PRVI","P5",0
"PRVISC","P5",5
"PYCA","P5",2
"PYCO","P5",1
"QUBI","P5",3
"QUMA","P5",6
"QUPA","P5",0
"QURU","P5",4
"RHCA","P5",0
"RHTY","P5",0
"ROPS","P5",0
"SAALTR","P5",0
"SOAU","P5",0
"SYRE","P5",1
"SYVU","P5",0
"TACA","P5",0
"THOC","P5",13
"TIAM","P5",3
"TICO","P5",14
"TIERWR","P5",0
"TIMOHG","P5",0
"TITO","P5",0
"ULAM","P5",9
"ULLA","P5",1
"ULMI","P5",8
"ULPU","P5",0
"ULXXFR","P5",4
"ULXXHO","P5",0
"VILE","P5",22
"ACFR","P6",2
"ACGI","P6",1
"ACNE","P6",1
"ACPL","P6",97
"ACRU","P6",5
"ACSA","P6",81
"ACSC","P6",2
"ACTA","P6",0
"AEHI","P6",1
"AMAR","P6",0
"AMCA","P6",0
"BEAL","P6",1
"BENI","P6",1
"BEVU","P6",0
"CAAR","P6",0
"CACA","P6",0
"CAGL","P6",0
"CEJA","P6",0
"CEOC","P6",0
"CGMO","P6",0
"CGPU","P6",0
"COCO","P6",0
"CTSP","P6",0
"EUAL","P6",0
"FRAM","P6",0
"FRPE","P6",0
"GIBI","P6",0
"GLTR","P6",2
"GYDI","P6",2
"HYPA","P6",0
"JUCI","P6",0
"JUNI","P6",1
"LADE","P6",0
"LALA","P6",0
"LITU","P6",0
"LOXY","P6",0
"MABA","P6",2
"MASY","P6",0
"PHAM","P6",0
"PHPU","P6",0
"PIAB","P6",1
"PIGL","P6",0
"PIOM","P6",0
"PIPU","P6",0
"PIRU","P6",0
"PIST","P6",0
"PNNI","P6",0
"PNRE","P6",2
"PNSY","P6",0
"PODE","P6",0
"PRNI","P6",0
"PRPA","P6",0
"PRSE","P6",0
"PRVI","P6",0
"PRVISC","P6",0
"PYCA","P6",0
"PYCO","P6",0
"QUBI","P6",0
"QUMA","P6",3
"QUPA","P6",0
"QURU","P6",0
"RHCA","P6",0
"RHTY","P6",0
"ROPS","P6",0
"SAALTR","P6",0
"SOAU","P6",0
"SYRE","P6",7
"SYVU","P6",0
"TACA","P6",0
"THOC","P6",0
"TIAM","P6",1
"TICO","P6",13
"TIERWR","P6",0
"TIMOHG","P6",0
"TITO","P6",0
"ULAM","P6",0
"ULLA","P6",0
"ULMI","P6",0
"ULPU","P6",0
"ULXXFR","P6",0
"ULXXHO","P6",5
"VILE","P6",0
"ACFR","P7",2
"ACGI","P7",0
"ACNE","P7",1
"ACPL","P7",23
"ACRU","P7",0
"ACSA","P7",17
"ACSC","P7",0
"ACTA","P7",0
"AEHI","P7",0
"AMAR","P7",0
"AMCA","P7",1
"BEAL","P7",0
"BENI","P7",4
"BEVU","P7",0
"CAAR","P7",0
"CACA","P7",0
"CAGL","P7",0
"CEJA","P7",0
"CEOC","P7",8
"CGMO","P7",0
"CGPU","P7",0
"COCO","P7",0
"CTSP","P7",0
"EUAL","P7",0
"FRAM","P7",0
"FRPE","P7",0
"GIBI","P7",0
"GLTR","P7",5
"GYDI","P7",0
"HYPA","P7",2
"JUCI","P7",0
"JUNI","P7",0
"LADE","P7",0
"LALA","P7",0
"LITU","P7",0
"LOXY","P7",0
"MABA","P7",4
"MASY","P7",0
"PHAM","P7",0
"PHPU","P7",0
"PIAB","P7",0
"PIGL","P7",2
"PIOM","P7",0
"PIPU","P7",0
"PIRU","P7",3
"PIST","P7",0
"PNNI","P7",0
"PNRE","P7",0
"PNSY","P7",0
"PODE","P7",0
"PRNI","P7",0
"PRPA","P7",0
"PRSE","P7",0
"PRVI","P7",0
"PRVISC","P7",0
"PYCA","P7",1
"PYCO","P7",0
"QUBI","P7",0
"QUMA","P7",0
"QUPA","P7",0
"QURU","P7",0
"RHCA","P7",0
"RHTY","P7",0
"ROPS","P7",0
"SAALTR","P7",0
"SOAU","P7",0
"SYRE","P7",2
"SYVU","P7",1
"TACA","P7",0
"THOC","P7",0
"TIAM","P7",0
"TICO","P7",21
"TIERWR","P7",0
"TIMOHG","P7",0
"TITO","P7",3
"ULAM","P7",0
"ULLA","P7",0
"ULMI","P7",4
"ULPU","P7",0
"ULXXFR","P7",4
"ULXXHO","P7",0
"VILE","P7",0
