"","calc_PIE(site.sp.tot.mat)","pie.tot.sites.nona","site_code"
"1",0.436363636363636,0.436363636363636,"B10"
"2",0.36892177589852,0.36892177589852,"B11"
"3",NA,1,"B13"
"4",0.666666666666667,0.666666666666667,"B14"
"5",NA,1,"B16"
"6",1,1,"B18"
"7",0.6,0.6,"B19"
"8",1,1,"B2"
"9",0.5,0.5,"B20"
"10",1,1,"B21"
"11",0.666666666666667,0.666666666666667,"B23"
"12",0.666666666666667,0.666666666666667,"B24"
"13",0.8,0.8,"B25"
"14",1,1,"B27"
"15",0.666666666666667,0.666666666666667,"B28"
"16",1,1,"B29"
"17",0.933333333333333,0.933333333333333,"B3"
"18",0.333333333333333,0.333333333333333,"B31"
"19",0,0,"B33"
"20",0.560606060606061,0.560606060606061,"B34"
"21",0,0,"B35"
"22",0.666666666666667,0.666666666666667,"B36"
"23",NA,1,"B37"
"24",0.2,0.2,"B38"
"25",NA,1,"B39"
"26",1,1,"B40"
"27",NA,1,"B41"
"28",0.644444444444444,0.644444444444444,"B42"
"29",NA,1,"B43"
"30",1,1,"B45"
"31",1,1,"B46"
"32",NA,1,"B47"
"33",NA,1,"B49"
"34",1,1,"B5"
"35",NA,1,"B50"
"36",0.5,0.5,"B51"
"37",0.8,0.8,"B53"
"38",0.6,0.6,"B54"
"39",0,0,"B55"
"40",NA,1,"B56"
"41",0,0,"B57"
"42",NA,1,"B58"
"43",NA,1,"B60"
"44",0.6,0.6,"B61"
"45",NA,1,"B62"
"46",NA,1,"B63"
"47",1,1,"B64"
"48",NA,1,"B67"
"49",0.666666666666667,0.666666666666667,"B69"
"50",0.282051282051282,0.282051282051282,"B7"
"51",0.722222222222222,0.722222222222222,"B70"
"52",0.384615384615385,0.384615384615385,"B71"
"53",0.666666666666667,0.666666666666667,"B72"
"54",NA,1,"B73"
"55",0.4,0.4,"B78"
"56",0.4,0.4,"B79"
"57",NA,1,"B8"
"58",0.4,0.4,"B80"
"59",NA,1,"B81"
"60",0.588235294117647,0.588235294117647,"B82"
"61",0.6,0.6,"B83"
"62",0.857142857142857,0.857142857142857,"B87"
"63",0.9,0.9,"B90"
"64",NA,1,"B91"
"65",NA,1,"C1"
"66",0.7,0.7,"C10"
"67",0.7,0.7,"C11"
"68",0.535714285714286,0.535714285714286,"C12"
"69",0.5,0.5,"C13"
"70",0,0,"C14"
"71",NA,1,"C15"
"72",0.8,0.8,"C16"
"73",0.822222222222222,0.822222222222222,"C17"
"74",0.333333333333333,0.333333333333333,"C18"
"75",0.5,0.5,"C2"
"76",0.8,0.8,"C20"
"77",1,1,"C21"
"78",1,1,"C22"
"79",0.75,0.75,"C23"
"80",0.666666666666667,0.666666666666667,"C3"
"81",NA,1,"C4"
"82",1,1,"C5"
"83",0.666666666666667,0.666666666666667,"C6"
"84",1,1,"C7"
"85",0.833333333333333,0.833333333333333,"C8"
"86",0.722222222222222,0.722222222222222,"C9"
"87",0.833333333333333,0.833333333333333,"CC2"
"88",0,0,"CC3"
"89",1,1,"CC4"
"90",0.464285714285714,0.464285714285714,"CC5"
"91",0.9,0.9,"CC6"
"92",1,1,"CC7"
"93",0.6,0.6,"CC8"
"94",0.508305647840531,0.508305647840531,"CO1"
"95",0.835164835164835,0.835164835164835,"CO2"
"96",NA,1,"CP1"
"97",1,1,"CP2"
"98",0.607142857142857,0.607142857142857,"CSC1"
"99",NA,1,"CSC2"
"100",0.9,0.9,"CSC3"
"101",0,0,"CSC4"
"102",1,1,"CSC5"
"103",NA,1,"CSC7"
"104",1,1,"CSC8"
"105",1,1,"CSC9"
"106",1,1,"G5"
"107",0.785714285714286,0.785714285714286,"H1"
"108",0.9,0.9,"H2"
"109",0.822222222222222,0.822222222222222,"H3"
"110",0.857142857142857,0.857142857142857,"H4"
"111",0.7,0.7,"H5"
"112",0.964285714285714,0.964285714285714,"H6"
"113",0.666666666666667,0.666666666666667,"H7"
"114",0.857142857142857,0.857142857142857,"IG1"
"115",0.9,0.9,"IG2"
"116",1,1,"IG3"
"117",0,0,"IG4"
"118",0.933333333333333,0.933333333333333,"IG5"
"119",0.666666666666667,0.666666666666667,"IG7"
"120",0,0,"J1"
"121",NA,1,"J10"
"122",0.5,0.5,"J11"
"123",NA,1,"J12"
"124",NA,1,"J14"
"125",1,1,"J17"
"126",1,1,"J19"
"127",0.833333333333333,0.833333333333333,"J2"
"128",0.8,0.8,"J20"
"129",0.8,0.8,"J3"
"130",0,0,"J6"
"131",1,1,"J7"
"132",1,1,"KP1"
"133",0,0,"KP10"
"134",0,0,"KP2"
"135",0,0,"KP4"
"136",0,0,"KP5"
"137",0.5,0.5,"KP6"
"138",0.192307692307692,0.192307692307692,"KP7"
"139",0.388888888888889,0.388888888888889,"KP8"
"140",0.6,0.6,"KP9"
"141",0,0,"KS1"
"142",0.9,0.9,"KS2"
"143",0.5,0.5,"LH10"
"144",1,1,"LH12"
"145",0.285714285714286,0.285714285714286,"LH2"
"146",0.666666666666667,0.666666666666667,"LH3"
"147",1,1,"LH4"
"148",1,1,"LH7"
"149",0.9,0.9,"LH8"
"150",0,0,"LO1"
"151",1,1,"LO10"
"152",0,0,"LO100"
"153",0.73202614379085,0.73202614379085,"LO102"
"154",0,0,"LO103"
"155",NA,1,"LO104"
"156",NA,1,"LO105"
"157",1,1,"LO108"
"158",0,0,"LO109"
"159",0.666666666666667,0.666666666666667,"LO11"
"160",NA,1,"LO111"
"161",1,1,"LO112"
"162",1,1,"LO115"
"163",1,1,"LO116"
"164",0.642857142857143,0.642857142857143,"LO119"
"165",1,1,"LO12"
"166",0.666666666666667,0.666666666666667,"LO123"
"167",0,0,"LO125"
"168",NA,1,"LO126"
"169",1,1,"LO128"
"170",0.666666666666667,0.666666666666667,"LO13"
"171",1,1,"LO130"
"172",1,1,"LO131"
"173",0.833333333333333,0.833333333333333,"LO132"
"174",0.4,0.4,"LO133"
"175",NA,1,"LO134"
"176",0,0,"LO135"
"177",NA,1,"LO139"
"178",0.666666666666667,0.666666666666667,"LO14"
"179",NA,1,"LO140"
"180",1,1,"LO142"
"181",NA,1,"LO143"
"182",NA,1,"LO146"
"183",0,0,"LO149"
"184",1,1,"LO15"
"185",0.733333333333333,0.733333333333333,"LO152"
"186",0.833333333333333,0.833333333333333,"LO153"
"187",0,0,"LO154"
"188",1,1,"LO155"
"189",0.777777777777778,0.777777777777778,"LO156"
"190",0,0,"LO158"
"191",1,1,"LO161"
"192",0.8,0.8,"LO162"
"193",0.5,0.5,"LO163"
"194",NA,1,"LO167"
"195",NA,1,"LO17"
"196",0.833333333333333,0.833333333333333,"LO171"
"197",NA,1,"LO18"
"198",0.833333333333333,0.833333333333333,"LO19"
"199",0.8,0.8,"LO2"
"200",0,0,"LO22"
"201",1,1,"LO24"
"202",0.5,0.5,"LO25"
"203",1,1,"LO26"
"204",NA,1,"LO28"
"205",1,1,"LO29"
"206",0.8,0.8,"LO3"
"207",0.666666666666667,0.666666666666667,"LO30"
"208",1,1,"LO32"
"209",0,0,"LO33"
"210",0.666666666666667,0.666666666666667,"LO34"
"211",NA,1,"LO35"
"212",0.833333333333333,0.833333333333333,"LO36"
"213",0,0,"LO37"
"214",1,1,"LO38"
"215",NA,1,"LO39"
"216",1,1,"LO4"
"217",0,0,"LO43"
"218",0,0,"LO44"
"219",1,1,"LO45"
"220",0,0,"LO48"
"221",1,1,"LO49"
"222",NA,1,"LO5"
"223",0,0,"LO50"
"224",0.833333333333333,0.833333333333333,"LO54"
"225",NA,1,"LO56"
"226",0,0,"LO58"
"227",0.666666666666667,0.666666666666667,"LO59"
"228",1,1,"LO6"
"229",NA,1,"LO60"
"230",0.8,0.8,"LO63"
"231",0.583333333333333,0.583333333333333,"LO64"
"232",0.933333333333333,0.933333333333333,"LO65"
"233",NA,1,"LO66"
"234",0,0,"LO67"
"235",0.675,0.675,"LO68"
"236",NA,1,"LO7"
"237",NA,1,"LO71"
"238",NA,1,"LO72"
"239",1,1,"LO75"
"240",NA,1,"LO76"
"241",0.7,0.7,"LO77"
"242",0.805555555555556,0.805555555555556,"LO80"
"243",NA,1,"LO81"
"244",NA,1,"LO83"
"245",0.5,0.5,"LO84"
"246",0,0,"LO85"
"247",0,0,"LO86"
"248",0.5,0.5,"LO89"
"249",0.666666666666667,0.666666666666667,"LO90"
"250",0.833333333333333,0.833333333333333,"LO91"
"251",0.9,0.9,"LO92"
"252",NA,1,"LO93"
"253",0.8,0.8,"LO94"
"254",0,0,"LO95"
"255",NA,1,"LO96"
"256",NA,1,"LO97"
"257",0,0,"LO98"
"258",1,1,"LO99"
"259",0.620915032679738,0.620915032679738,"S1"
"260",0.807692307692308,0.807692307692308,"S10"
"261",0.816666666666667,0.816666666666667,"S100"
"262",0.215686274509804,0.215686274509804,"S101"
"263",0.955555555555556,0.955555555555556,"S102"
"264",0.757894736842105,0.757894736842105,"S103"
"265",0.872727272727273,0.872727272727273,"S104"
"266",0.676666666666667,0.676666666666667,"S105"
"267",0.538011695906433,0.538011695906433,"S106"
"268",0.714285714285714,0.714285714285714,"S107"
"269",0.274725274725275,0.274725274725275,"S108"
"270",0.904761904761905,0.904761904761905,"S109"
"271",0.875,0.875,"S11"
"272",0.75,0.75,"S12"
"273",0.747252747252747,0.747252747252747,"S13"
"274",0.783333333333333,0.783333333333333,"S14"
"275",0.538461538461539,0.538461538461539,"S15"
"276",0.871794871794872,0.871794871794872,"S16"
"277",0.727272727272727,0.727272727272727,"S17"
"278",0.866666666666667,0.866666666666667,"S18"
"279",0.948717948717949,0.948717948717949,"S19"
"280",0.654411764705882,0.654411764705882,"S2"
"281",0.647619047619048,0.647619047619048,"S20"
"282",0.738461538461539,0.738461538461539,"S21"
"283",0.952380952380952,0.952380952380952,"S22"
"284",0.644444444444445,0.644444444444445,"S23"
"285",0.818713450292398,0.818713450292398,"S24"
"286",0.641025641025641,0.641025641025641,"S25"
"287",0.405228758169935,0.405228758169935,"S26"
"288",0.758241758241758,0.758241758241758,"S27"
"289",0.857142857142857,0.857142857142857,"S28"
"290",0.695238095238095,0.695238095238095,"S29"
"291",0.480952380952381,0.480952380952381,"S3"
"292",0.91812865497076,0.91812865497076,"S30"
"293",0.584210526315789,0.584210526315789,"S31"
"294",0.414285714285714,0.414285714285714,"S32"
"295",0.7,0.7,"S33"
"296",0.916666666666667,0.916666666666667,"S34"
"297",0.934640522875817,0.934640522875817,"S35"
"298",0.582417582417582,0.582417582417582,"S36"
"299",0.561904761904762,0.561904761904762,"S37"
"300",0.933333333333333,0.933333333333333,"S38"
"301",0.704761904761905,0.704761904761905,"S39"
"302",0.794871794871795,0.794871794871795,"S4"
"303",0.848484848484848,0.848484848484848,"S40"
"304",0.562091503267974,0.562091503267974,"S41"
"305",0.525,0.525,"S42"
"306",0.633986928104575,0.633986928104575,"S43"
"307",0.822134387351779,0.822134387351779,"S44"
"308",0.741666666666667,0.741666666666667,"S45"
"309",0.813852813852814,0.813852813852814,"S46"
"310",0.752631578947368,0.752631578947368,"S47"
"311",0.593073593073593,0.593073593073593,"S48"
"312",0.545454545454545,0.545454545454545,"S49"
"313",0.80952380952381,0.80952380952381,"S5"
"314",0.583333333333333,0.583333333333333,"S50"
"315",0.842857142857143,0.842857142857143,"S51"
"316",0.779411764705882,0.779411764705882,"S52"
"317",0.781818181818182,0.781818181818182,"S53"
"318",0.89010989010989,0.89010989010989,"S54"
"319",0.888888888888889,0.888888888888889,"S55"
"320",0.835164835164835,0.835164835164835,"S56"
"321",0.683823529411765,0.683823529411765,"S57"
"322",0.722222222222222,0.722222222222222,"S58"
"323",0.848484848484848,0.848484848484848,"S59"
"324",NA,1,"S6"
"325",0.964285714285714,0.964285714285714,"S60"
"326",0.908333333333333,0.908333333333333,"S61"
"327",0.935897435897436,0.935897435897436,"S62"
"328",0.926470588235294,0.926470588235294,"S63"
"329",0.909420289855073,0.909420289855073,"S64"
"330",0.595588235294118,0.595588235294118,"S65"
"331",0.916666666666667,0.916666666666667,"S66"
"332",0.476190476190476,0.476190476190476,"S67"
"333",0.661764705882353,0.661764705882353,"S68"
"334",0.764705882352941,0.764705882352941,"S69"
"335",0.654545454545455,0.654545454545455,"S7"
"336",0.654970760233918,0.654970760233918,"S70"
"337",0.794736842105263,0.794736842105263,"S71"
"338",0.923076923076923,0.923076923076923,"S72"
"339",0.298245614035088,0.298245614035088,"S73"
"340",0.720588235294118,0.720588235294118,"S74"
"341",0.639705882352941,0.639705882352941,"S75"
"342",0.897435897435897,0.897435897435897,"S76"
"343",0.757142857142857,0.757142857142857,"S77"
"344",0.657142857142857,0.657142857142857,"S78"
"345",0.5,0.5,"S79"
"346",0,0,"S8"
"347",0.423913043478261,0.423913043478261,"S80"
"348",0.714285714285714,0.714285714285714,"S81"
"349",0.766081871345029,0.766081871345029,"S82"
"350",0.884615384615384,0.884615384615384,"S83"
"351",0.753333333333333,0.753333333333333,"S84"
"352",0.742424242424242,0.742424242424242,"S85"
"353",0.651515151515151,0.651515151515151,"S86"
"354",0,0,"S87"
"355",0.491666666666667,0.491666666666667,"S88"
"356",0.75,0.75,"S89"
"357",0.181818181818182,0.181818181818182,"S9"
"358",0.2,0.2,"S90"
"359",0.454545454545454,0.454545454545454,"S91"
"360",0.257142857142857,0.257142857142857,"S92"
"361",0.8,0.8,"S93"
"362",0.718954248366013,0.718954248366013,"S94"
"363",0.8,0.8,"S95"
"364",0.675,0.675,"S96"
"365",0.644444444444445,0.644444444444445,"S97"
"366",0.842105263157895,0.842105263157895,"S98"
"367",0.454545454545454,0.454545454545454,"S99"
"368",0.866666666666667,0.866666666666667,"SM1"
"369",0.9,0.9,"SM10"
"370",0.777777777777778,0.777777777777778,"SM11"
"371",0.666666666666667,0.666666666666667,"SM13"
"372",0.80952380952381,0.80952380952381,"SM15"
"373",0.833333333333333,0.833333333333333,"SM16"
"374",NA,1,"SM18"
"375",0.9,0.9,"SM19"
"376",NA,1,"SM2"
"377",1,1,"SM20"
"378",0.888888888888889,0.888888888888889,"SM4"
"379",0.666666666666667,0.666666666666667,"SM5"
"380",0,0,"SM6"
"381",1,1,"SM8"
"382",1,1,"SM9"
"383",0.666666666666667,0.666666666666667,"SMC1"
"384",0.9,0.9,"SMC10"
"385",0.666666666666667,0.666666666666667,"SMC11"
"386",0.8,0.8,"SMC2"
"387",0.8,0.8,"SMC3"
"388",NA,1,"SMC4"
"389",0.717948717948718,0.717948717948718,"SMC5"
"390",1,1,"SMC7"
"391",1,1,"SMC8"
"392",NA,1,"SMC9"
"393",0.666666666666667,0.666666666666667,"SP1"
"394",0,0,"SP10"
"395",0.892857142857143,0.892857142857143,"SP11"
"396",0.714285714285714,0.714285714285714,"SP12"
"397",1,1,"SP13"
"398",1,1,"SP14"
"399",0.666666666666667,0.666666666666667,"SP16"
"400",0.709090909090909,0.709090909090909,"SP2"
"401",NA,1,"SP3"
"402",NA,1,"SP4"
"403",0.8,0.8,"SP5"
"404",NA,1,"SP6"
"405",1,1,"SP7"
"406",0.5,0.5,"SP8"
"407",1,1,"SP9"
"408",0.80952380952381,0.80952380952381,"ST1"
"409",1,1,"ST2"
"410",0.944444444444444,0.944444444444444,"ST3"
"411",0.857142857142857,0.857142857142857,"ST4"
"412",0.8,0.8,"ST5"
"413",0.857142857142857,0.857142857142857,"ST6"
"414",NA,1,"ST7"
"415",0.866666666666667,0.866666666666667,"ST9"
"416",0.666666666666667,0.666666666666667,"STL1"
"417",1,1,"STL10"
"418",0,0,"STL11"
"419",NA,1,"STL12"
"420",0.181818181818182,0.181818181818182,"STL13"
"421",0.666666666666667,0.666666666666667,"STL14"
"422",1,1,"STL2"
"423",0.35,0.35,"STL4"
"424",0.666666666666667,0.666666666666667,"STL5"
"425",0.388888888888889,0.388888888888889,"STL6"
"426",0.5,0.5,"STL7"
"427",0.666666666666667,0.666666666666667,"STL8"
"428",0,0,"STL9"
"429",0,0,"T1"
"430",NA,1,"T10"
"431",0.666666666666667,0.666666666666667,"T103"
"432",NA,1,"T104"
"433",0.5,0.5,"T107"
"434",0,0,"T110"
"435",1,1,"T111"
"436",NA,1,"T112"
"437",0.666666666666667,0.666666666666667,"T113"
"438",1,1,"T114"
"439",0.6,0.6,"T115"
"440",NA,1,"T116"
"441",0,0,"T118"
"442",NA,1,"T14"
"443",0.666666666666667,0.666666666666667,"T16"
"444",NA,1,"T18"
"445",0,0,"T21"
"446",0,0,"T22"
"447",0,0,"T23"
"448",1,1,"T24"
"449",0.666666666666667,0.666666666666667,"T26"
"450",0.833333333333333,0.833333333333333,"T28"
"451",0.666666666666667,0.666666666666667,"T3"
"452",0,0,"T30"
"453",0.666666666666667,0.666666666666667,"T31"
"454",1,1,"T32"
"455",0.666666666666667,0.666666666666667,"T33"
"456",0,0,"T34"
"457",0.833333333333333,0.833333333333333,"T35"
"458",NA,1,"T36"
"459",0.5,0.5,"T38"
"460",0,0,"T39"
"461",0.5,0.5,"T4"
"462",0,0,"T40"
"463",0,0,"T41"
"464",NA,1,"T42"
"465",0.666666666666667,0.666666666666667,"T43"
"466",NA,1,"T44"
"467",0.6,0.6,"T45"
"468",0,0,"T46"
"469",NA,1,"T47"
"470",0,0,"T48"
"471",0,0,"T49"
"472",0,0,"T5"
"473",0.5,0.5,"T50"
"474",0,0,"T51"
"475",NA,1,"T53"
"476",NA,1,"T54"
"477",0,0,"T56"
"478",0.666666666666667,0.666666666666667,"T57"
"479",1,1,"T59"
"480",1,1,"T60"
"481",1,1,"T63"
"482",0,0,"T64"
"483",NA,1,"T65"
"484",0,0,"T66"
"485",1,1,"T67"
"486",NA,1,"T68"
"487",NA,1,"T69"
"488",0.833333333333333,0.833333333333333,"T7"
"489",0.80952380952381,0.80952380952381,"T70"
"490",1,1,"T72"
"491",0,0,"T73"
"492",1,1,"T74"
"493",0.5,0.5,"T76"
"494",0.5,0.5,"T77"
"495",1,1,"T78"
"496",0,0,"T79"
"497",0,0,"T81"
"498",0,0,"T82"
"499",1,1,"T85"
"500",0.285714285714286,0.285714285714286,"T86"
"501",0.5,0.5,"T87"
"502",0.666666666666667,0.666666666666667,"T88"
"503",1,1,"T91"
"504",1,1,"T92"
"505",0.4,0.4,"T94"
"506",0.666666666666667,0.666666666666667,"T95"
"507",0,0,"T97"
"508",0.833333333333333,0.833333333333333,"T98"
"509",0.333333333333333,0.333333333333333,"T99"
"510",0.761904761904762,0.761904761904762,"W10"
"511",0.666666666666667,0.666666666666667,"W11"
"512",1,1,"W12"
"513",1,1,"W13"
"514",0.866666666666667,0.866666666666667,"W14"
"515",0,0,"W15"
"516",0,0,"W16"
"517",0.7,0.7,"W17"
"518",1,1,"W18"
"519",1,1,"W19"
"520",0.5,0.5,"W2"
"521",0,0,"W20"
"522",0.533333333333333,0.533333333333333,"W21"
"523",0.607142857142857,0.607142857142857,"W22"
"524",NA,1,"W23"
"525",0.933333333333333,0.933333333333333,"W24"
"526",0.666666666666667,0.666666666666667,"W25"
"527",0.833333333333333,0.833333333333333,"W27"
"528",0.6,0.6,"W28"
"529",0.666666666666667,0.666666666666667,"W29"
"530",NA,1,"W3"
"531",NA,1,"W30"
"532",1,1,"W31"
"533",0.4,0.4,"W32"
"534",0.666666666666667,0.666666666666667,"W33"
"535",1,1,"W5"
"536",1,1,"W6"
"537",0,0,"W8"
"538",0,0,"W9"
"539",0,0,"WI1"
"540",0,0,"WI3"
"541",0.666666666666667,0.666666666666667,"WI8"
"542",0.379446640316205,0.379446640316205,"Y1"
"543",1,1,"Y10"
"544",0.977777777777778,0.977777777777778,"Y11"
"545",0.8,0.8,"Y12"
"546",0.757575757575757,0.757575757575757,"Y13"
"547",NA,1,"Y14"
"548",0.714285714285714,0.714285714285714,"Y15"
"549",1,1,"Y16"
"550",0.694444444444444,0.694444444444444,"Y17"
"551",0.666666666666667,0.666666666666667,"Y18"
"552",0.9,0.9,"Y19"
"553",0.833333333333333,0.833333333333333,"Y2"
"554",0.9,0.9,"Y20"
"555",1,1,"Y21"
"556",0.666666666666667,0.666666666666667,"Y22"
"557",0.9,0.9,"Y23"
"558",0.735930735930736,0.735930735930736,"Y24"
"559",1,1,"Y25"
"560",0,0,"Y26"
"561",0.9,0.9,"Y27"
"562",0.785714285714286,0.785714285714286,"Y28"
"563",0.888888888888889,0.888888888888889,"Y29"
"564",1,1,"Y3"
"565",NA,1,"Y30"
"566",0,0,"Y31"
"567",0.523809523809524,0.523809523809524,"Y32"
"568",0.893939393939394,0.893939393939394,"Y33"
"569",0.666666666666667,0.666666666666667,"Y34"
"570",1,1,"Y35"
"571",0.833333333333333,0.833333333333333,"Y36"
"572",1,1,"Y37"
"573",0.833333333333333,0.833333333333333,"Y4"
"574",0.606896551724138,0.606896551724138,"Y40"
"575",1,1,"Y42"
"576",1,1,"Y43"
"577",1,1,"Y44"
"578",0.5,0.5,"Y45"
"579",0.615563298490128,0.615563298490128,"Y46"
"580",0.282051282051282,0.282051282051282,"Y47"
"581",0.714285714285714,0.714285714285714,"Y48"
"582",NA,1,"Y49"
"583",0.944444444444444,0.944444444444444,"Y5"
"584",0.892857142857143,0.892857142857143,"Y50"
"585",0.523809523809524,0.523809523809524,"Y51"
"586",1,1,"Y52"
"587",1,1,"Y53"
"588",0.957142857142857,0.957142857142857,"Y54"
"589",1,1,"Y55"
"590",1,1,"Y56"
"591",1,1,"Y57"
"592",0.833333333333333,0.833333333333333,"Y58"
"593",NA,1,"Y59"
"594",0.355555555555555,0.355555555555555,"Y6"
"595",0.505494505494505,0.505494505494505,"Y60"
"596",0.833333333333333,0.833333333333333,"Y61"
"597",0.838235294117647,0.838235294117647,"Y62"
"598",0.6,0.6,"Y63"
"599",0.833333333333333,0.833333333333333,"Y64"
"600",0.625,0.625,"Y65"
"601",0.818181818181818,0.818181818181818,"Y66"
"602",0.805555555555556,0.805555555555556,"Y67"
"603",1,1,"Y68"
"604",0.872727272727273,0.872727272727273,"Y69"
"605",1,1,"Y70"
"606",0.628458498023715,0.628458498023715,"Y71"
"607",0.666666666666667,0.666666666666667,"Y72"
"608",0.854545454545455,0.854545454545455,"Y73"
"609",0.477832512315271,0.477832512315271,"Y74"
"610",0.866666666666667,0.866666666666667,"Y75"
"611",0.666666666666667,0.666666666666667,"Y76"
"612",1,1,"Y77"
"613",0.6,0.6,"Y78"
"614",0.666666666666667,0.666666666666667,"Y79"
"615",0.8,0.8,"Y8"
"616",0.6,0.6,"Y80"
"617",0.833333333333333,0.833333333333333,"Y81"
"618",0.914285714285714,0.914285714285714,"Y82"
"619",0.369102682701203,0.369102682701203,"Y83"
"620",0.464285714285714,0.464285714285714,"Y84"
"621",0.928571428571428,0.928571428571428,"Y85"
"622",1,1,"Y86"
"623",NA,1,"Y87"
"624",0.934065934065934,0.934065934065934,"Y88"
"625",0.833333333333333,0.833333333333333,"Y89"
"626",1,1,"Y9"
"627",0,0,"Y90"
"628",0.0512820512820512,0.0512820512820512,"Y91"
"629",0.833333333333333,0.833333333333333,"Y92"
"630",0,0,"Y93"
"631",0.933333333333333,0.933333333333333,"YW1"
"632",1,1,"YW2"
"633",0.666666666666667,0.666666666666667,"YW3"
"634",0.327272727272727,0.327272727272727,"YW4"
"635",0.666666666666667,0.666666666666667,"YW5"
"636",0.80952380952381,0.80952380952381,"YW6"
"637",0,0,"YW7"
"638",0.75,0.75,"YW8"
