Site.Code,GS.Type,Max.Height.cwm,Growth.rate.cwm,Shade.tol.cwm,Drought.tol.cwm,Tree.shape.cwm,Flowering.cwm,Fruiting.cwm,Fall.col.cwm,Leaf.shape.cwm,Bark.cwm,,,,,,,,,,,,,,,
LO90,Park,11.16666667,0.444444444,3.222222222,3,0.444444444,0.444444444,0.444444444,0.444444444,3.333333333,2.888888889,,,,,,,,,,,,,,,
LO91,Park,9.75,1.25,2.75,3.75,0.5,0.25,0.5,0.25,2,1.5,,,,,,,,,,,,,,,
LO92,Park,19,1.4,4.2,3.2,0.2,0.8,1,0,1.4,2.2,,,,,,,,,,,,,,,
LO93,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO94,Park,14.16666667,1.5,2.833333333,3.166666667,0.333333333,0.833333333,0.833333333,0.166666667,3.5,2.5,,,,,,,,,,,,,,,
LO95,Park,22.5,1,3,4,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO96,Park,19.5,1,5,3,1,0,1,0,2,2,,,,,,,,,,,,,,,
LO97,Park,16.5,2,3,4,0,1,1,0,3,2,,,,,,,,,,,,,,,
LO98,Park,20.5,1,5,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO99,Park,15.1,0.75,3.75,3.25,0.5,0.5,1,0.5,3.5,2.5,,,,,,,,,,,,,,,
S1,Row,18.36111111,1.277777778,4.277777778,3.111111111,0.611111111,0.277777778,0.944444444,0,1.944444444,2.111111111,,,,,,,,,,,,,,,
S10,Row,17.07692308,1.538461538,3.846153846,3.384615385,0.384615385,0.692307692,0.692307692,0.076923077,2.076923077,2.076923077,,,,,,,,,,,,,,,
S100,Row,14.43125,1.5,3.1875,3.0625,0.3125,0.875,0.875,0,1.3125,1.9375,,,,,,,,,,,,,,,
S101,Row,19.08333333,1.111111111,4.666666667,2.944444444,0.944444444,0.111111111,1,0.055555556,1.944444444,2.055555556,,,,,,,,,,,,,,,
S102,Row,16.8,1.6,3.3,3.3,0.5,0.8,0.8,0.1,1.6,2.1,,,,,,,,,,,,,,,
S103,Row,16.73,1.2,4.4,3,0.6,0.4,0.9,0.05,1.7,2,,,,,,,,,,,,,,,
S104,Row,17.57272727,1.181818182,3.545454545,3.272727273,0.727272727,0.545454545,0.636363636,0.090909091,1.909090909,2,,,,,,,,,,,,,,,
S105,Row,17.02,1.2,3.96,3,0.68,0.32,0.88,0.04,1.84,2.16,,,,,,,,,,,,,,,
S106,Row,17.75263158,1.789473684,3.736842105,3.105263158,0.157894737,0.842105263,0.894736842,0.052631579,1.263157895,2.052631579,,,,,,,,,,,,,,,
S107,Row,16.92857143,1.857142857,3.285714286,3,0,0.857142857,1,0,1,2,,,,,,,,,,,,,,,
S108,Row,16.92857143,1.928571429,3.785714286,3,0,0.928571429,1,0.071428571,1.071428571,1.928571429,,,,,,,,,,,,,,,
S109,Row,16.65333333,1.466666667,3.4,3.333333333,0.266666667,1,1,0.2,2.466666667,2.333333333,,,,,,,,,,,,,,,
S11,Row,17.3625,1.375,3.1875,3.25,0.1875,0.9375,0.875,0,1.3125,2.125,,,,,,,,,,,,,,,
S12,Row,16.3125,1.875,3.375,3.5,0.125,0.875,1,0,2.125,2,,,,,,,,,,,,,,,
S13,Row,18.14285714,1.785714286,3.428571429,3.071428571,0,0.928571429,0.928571429,0,1.214285714,2,,,,,,,,,,,,,,,
S14,Row,15.725,1.6875,3.6875,2.9375,0,0.75,0.9375,0,1.4375,1.9375,,,,,,,,,,,,,,,
S15,Row,17.19230769,1.692307692,3.538461538,3.076923077,0.153846154,1,0.923076923,0.076923077,1.307692308,2.076923077,,,,,,,,,,,,,,,
S16,Row,15.97692308,1.615384615,3.461538462,3.538461538,0.076923077,0.846153846,0.769230769,0,1.692307692,2.384615385,,,,,,,,,,,,,,,
S17,Row,15.77272727,1.636363636,3.727272727,3.272727273,0.090909091,0.727272727,0.909090909,0.090909091,1.454545455,2.090909091,,,,,,,,,,,,,,,
S18,Row,14.9,1.466666667,3.533333333,3,0.2,0.866666667,0.933333333,0.333333333,2.066666667,2.066666667,,,,,,,,,,,,,,,
S19,Row,13.38461538,1.230769231,3.307692308,2.769230769,0.153846154,0.846153846,0.923076923,0.230769231,2,2.230769231,,,,,,,,,,,,,,,
S2,Row,15.26470588,1.823529412,2.764705882,4.058823529,0.058823529,0.823529412,0.470588235,0.117647059,2.235294118,2.411764706,,,,,,,,,,,,,,,
S20,Row,13.50666667,1.733333333,3.2,3,0,0.866666667,0.933333333,0.066666667,1.2,1.8,,,,,,,,,,,,,,,
S21,Row,14.03846154,0.807692308,2.923076923,3.192307692,0.538461538,0.923076923,0.807692308,0.538461538,3.269230769,2.576923077,,,,,,,,,,,,,,,
S22,Row,10.35714286,0.857142857,3,3,1.285714286,0.428571429,0.714285714,0.571428571,2.857142857,1.714285714,,,,,,,,,,,,,,,
S23,Row,13.96,2,3.1,3.2,0,0.9,0.8,0,1.3,2,,,,,,,,,,,,,,,
S24,Row,15.39473684,1.789473684,3.157894737,3.315789474,0.210526316,0.947368421,0.894736842,0.052631579,1.947368421,2,,,,,,,,,,,,,,,
S25,Row,15.11538462,2,3.153846154,3.307692308,0,1,0.846153846,0,1.307692308,2.153846154,,,,,,,,,,,,,,,
S26,Row,14.01666667,1.888888889,3.055555556,3.055555556,0.222222222,0.888888889,0.944444444,0,1.333333333,1.944444444,,,,,,,,,,,,,,,
S27,Row,13.78571429,1.214285714,2.785714286,3.214285714,0.214285714,0.857142857,0.785714286,0.214285714,1.785714286,2.285714286,,,,,,,,,,,,,,,
S28,Row,15.5,1.733333333,3.133333333,3.6,0.2,0.8,0.733333333,0.133333333,1.666666667,2.066666667,,,,,,,,,,,,,,,
S29,Row,16.8,1.666666667,3.466666667,3.066666667,0.133333333,0.866666667,0.933333333,0.133333333,1.666666667,2.2,,,,,,,,,,,,,,,
S3,Row,15.46666667,1.80952381,3.047619048,3.19047619,0.19047619,1,1,0,1.428571429,2.142857143,,,,,,,,,,,,,,,
S30,Row,14.27894737,1.684210526,2.684210526,3.526315789,0.473684211,0.789473684,0.578947368,0,2.052631579,2.263157895,,,,,,,,,,,,,,,
S31,Row,17.1,1.8,3.75,3.1,0.1,0.95,0.95,0.1,1.5,2.2,,,,,,,,,,,,,,,
S32,Row,17.57142857,1.571428571,3.761904762,3.047619048,0.142857143,0.952380952,0.952380952,0.142857143,1.619047619,2.142857143,,,,,,,,,,,,,,,
S33,Row,14.835,1.8,3.25,3.25,0.1,0.95,0.9,0.05,1.45,2.2,,,,,,,,,,,,,,,
S34,Row,14.7,1.555555556,2.666666667,3.666666667,0.333333333,0.888888889,0.777777778,0.222222222,2.777777778,2.222222222,,,,,,,,,,,,,,,
S35,Row,15.52777778,1.777777778,3.333333333,3.5,0.166666667,0.777777778,0.5,0.055555556,2.055555556,2.166666667,,,,,,,,,,,,,,,
S36,Row,16.28571429,2,3,3.928571429,0,1,0.857142857,0,2.571428571,2.142857143,,,,,,,,,,,,,,,
S37,Row,13.7,1.933333333,2.8,3.4,0,0.933333333,0.8,0.066666667,1.466666667,2.066666667,,,,,,,,,,,,,,,
S38,Row,12.25,1.666666667,2.5,3.5,0,0.666666667,0.5,0.166666667,1.833333333,1.833333333,,,,,,,,,,,,,,,
S39,Row,16.66666667,1.266666667,4,3.333333333,0.533333333,0.333333333,0.733333333,0.133333333,2.066666667,2.133333333,,,,,,,,,,,,,,,
S4,Row,16.5,1.692307692,3.461538462,3.615384615,0.307692308,0.692307692,0.846153846,0,2.230769231,2.153846154,,,,,,,,,,,,,,,
S40,Row,15.69166667,1.666666667,2.916666667,3.166666667,0,0.916666667,0.833333333,0.083333333,1.666666667,2.25,,,,,,,,,,,,,,,
S41,Row,14.25,1.833333333,3.111111111,3.055555556,0.111111111,0.944444444,1,0.111111111,1.388888889,2,,,,,,,,,,,,,,,
S42,Row,17.15625,1.875,3.6875,3.125,0.0625,1,1,0.0625,1.375,2.0625,,,,,,,,,,,,,,,
S43,Row,17.49444444,1.222222222,4.111111111,3.222222222,0.666666667,0.333333333,0.888888889,0,1.833333333,1.944444444,,,,,,,,,,,,,,,
S44,Row,15.45217391,1.347826087,3.391304348,3.130434783,0.347826087,0.739130435,0.913043478,0.130434783,2,2.217391304,,,,,,,,,,,,,,,
S45,Row,17.9375,1.25,4.0625,3.1875,0.5,0.375,0.8125,0,1.6875,2.0625,,,,,,,,,,,,,,,
S46,Row,15.56818182,1.772727273,3.090909091,3.409090909,0.181818182,0.818181818,0.681818182,0,1.5,2.272727273,,,,,,,,,,,,,,,
S47,Row,15.725,1.35,3.95,3,0.75,0.35,0.9,0,1.75,1.9,,,,,,,,,,,,,,,
S48,Row,17.40909091,1.318181818,4.272727273,3.045454545,0.727272727,0.272727273,0.909090909,0.045454545,1.909090909,2.136363636,,,,,,,,,,,,,,,
S49,Row,18.25,1.333333333,4.5,3,0.666666667,0.333333333,1,0,1.666666667,2,,,,,,,,,,,,,,,
S5,Row,16.54761905,1.285714286,4.047619048,3,0.333333333,0.476190476,0.904761905,0,1.523809524,2,,,,,,,,,,,,,,,
S50,Row,15.44444444,1.888888889,3,3.666666667,0,0.888888889,0.888888889,0,2.444444444,2.111111111,,,,,,,,,,,,,,,
S51,Row,15.5,1.571428571,3,3.19047619,0.285714286,0.857142857,0.904761905,0,1.380952381,2.095238095,,,,,,,,,,,,,,,
S52,Row,17.08823529,1.647058824,2.882352941,3.705882353,0.058823529,1,0.823529412,0.117647059,2.411764706,2.117647059,,,,,,,,,,,,,,,
S53,Row,16.24545455,1.363636364,2.818181818,3.636363636,0,1,0.727272727,0,1.727272727,2,,,,,,,,,,,,,,,
S54,Row,15.66428571,1.428571429,3.285714286,3.5,0.214285714,1,0.928571429,0.214285714,2.714285714,2.357142857,,,,,,,,,,,,,,,
S55,Row,14.47222222,1.333333333,3,3.333333333,0.222222222,0.833333333,0.833333333,0.222222222,2.055555556,2.444444444,,,,,,,,,,,,,,,
S56,Row,15.09285714,1.785714286,3.428571429,3.285714286,0,1,1,0,1.785714286,1.928571429,,,,,,,,,,,,,,,
S57,Row,16.02941176,1.941176471,3.352941176,3.117647059,0,0.882352941,0.941176471,0,1.117647059,2.058823529,,,,,,,,,,,,,,,
S58,Row,13.77777778,1.888888889,2.888888889,3.333333333,0,0.888888889,0.666666667,0,1.444444444,2.222222222,,,,,,,,,,,,,,,
S59,Row,16.55,1.666666667,3.166666667,4.166666667,0.416666667,0.666666667,0.666666667,0,2.25,2.333333333,,,,,,,,,,,,,,,
S6,Row,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
S60,Row,16.925,1.5,3.625,3.125,0.375,0.875,0.875,0,1.5,1.875,,,,,,,,,,,,,,,
S61,Row,13.3125,1.625,2.8125,3.625,0.5625,0.6875,0.6875,0.125,2.375,2.1875,,,,,,,,,,,,,,,
S62,Row,15.34615385,1.615384615,3.230769231,3.615384615,0.076923077,0.846153846,0.846153846,0,1.846153846,2.230769231,,,,,,,,,,,,,,,
S63,Row,17.94117647,1.647058824,3.117647059,3.411764706,0.176470588,0.882352941,1,0.058823529,2.294117647,2.294117647,,,,,,,,,,,,,,,
S64,Row,14.68333333,1.666666667,2.916666667,3.25,0.416666667,0.75,0.875,0.125,1.708333333,2.125,,,,,,,,,,,,,,,
S65,Row,13.88235294,1.588235294,2.882352941,3.882352941,0.235294118,0.823529412,0.882352941,0.058823529,2.529411765,2.235294118,,,,,,,,,,,,,,,
S66,Row,14.5,0.777777778,3.666666667,2.888888889,0.333333333,0.888888889,0.777777778,0.111111111,1.777777778,2,,,,,,,,,,,,,,,
S67,Row,12.88,1.8,2.866666667,3.066666667,0.066666667,0.866666667,0.933333333,0.066666667,1.133333333,2.066666667,,,,,,,,,,,,,,,
S68,Row,14.14705882,1.764705882,2.823529412,3.117647059,0.352941176,0.941176471,0.941176471,0.058823529,1.176470588,1.941176471,,,,,,,,,,,,,,,
S69,Row,14.44705882,1.705882353,2.529411765,3.352941176,0.117647059,0.882352941,0.705882353,0,1.529411765,2.294117647,,,,,,,,,,,,,,,
S7,Row,17.31818182,1.545454545,3.727272727,3.545454545,0.272727273,0.545454545,0.454545455,0,2,2,,,,,,,,,,,,,,,
S70,Row,13.59473684,1.736842105,2.789473684,3.105263158,0.052631579,0.842105263,1,0.157894737,1.263157895,1.842105263,,,,,,,,,,,,,,,
S71,Row,14.775,1.1,3.4,3.05,0.45,0.85,0.95,0.3,2.4,2.4,,,,,,,,,,,,,,,
S72,Row,17.96153846,1.461538462,2.846153846,3.384615385,0,0.923076923,0.769230769,0,1.615384615,2.076923077,,,,,,,,,,,,,,,
S73,Row,16.71052632,1.789473684,3.736842105,3,0.052631579,0.894736842,0.947368421,0.105263158,1.315789474,2.052631579,,,,,,,,,,,,,,,
S74,Row,15.21764706,1.588235294,2.764705882,3,0.176470588,0.823529412,0.941176471,0.117647059,1.470588235,2.058823529,,,,,,,,,,,,,,,
S75,Row,16.32352941,1.647058824,3.470588235,3.117647059,0.235294118,1,0.941176471,0.176470588,1.823529412,2.235294118,,,,,,,,,,,,,,,
S76,Row,16.50769231,1.615384615,2.923076923,3.076923077,0.153846154,0.923076923,0.923076923,0.153846154,1.538461538,2,,,,,,,,,,,,,,,
S77,Row,15.2047619,1.80952381,2.80952381,3.428571429,0.19047619,0.952380952,0.857142857,0,1.476190476,2.285714286,,,,,,,,,,,,,,,
S78,Row,14.41333333,1.933333333,3.133333333,3.4,0,1,0.6,0,1.4,2,,,,,,,,,,,,,,,
S79,Row,18.16071429,2,3.035714286,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
S8,Row,15,2,3,4,0,1,0,0,2,2,,,,,,,,,,,,,,,
S80,Row,19.1625,1.875,2.875,3,0.125,1,1,0,1,2,,,,,,,,,,,,,,,
S81,Row,14.78571429,1.857142857,3,2.857142857,0.142857143,1,1,0.285714286,1.285714286,2.142857143,,,,,,,,,,,,,,,
S82,Row,14.73684211,1.947368421,3.157894737,3.315789474,0,1,0.736842105,0,1.315789474,2.105263158,,,,,,,,,,,,,,,
S83,Row,15.66153846,1.384615385,3.307692308,2.923076923,0.153846154,0.923076923,0.923076923,0.230769231,1.769230769,2.230769231,,,,,,,,,,,,,,,
S84,Row,15.168,1.68,3.2,3.16,0.12,0.8,0.88,0.04,1.28,2.04,,,,,,,,,,,,,,,
S85,Row,15.00833333,1.833333333,2.666666667,3.083333333,0,0.916666667,0.916666667,0.083333333,2.083333333,2,,,,,,,,,,,,,,,
S86,Row,15.75,1.833333333,2.75,4.25,0.166666667,0.833333333,0.416666667,0,2.416666667,2.583333333,,,,,,,,,,,,,,,
S87,Row,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
S88,Row,16.375,2,3.625,3,0,0.9375,0.9375,0,1.0625,2.0625,,,,,,,,,,,,,,,
S89,Row,15.95,1.75,3.25,3.5625,0.375,1,1,0.125,2.6875,2.125,,,,,,,,,,,,,,,
S9,Row,18.13636364,1.909090909,3.818181818,3,0.090909091,1,1,0,1,2,,,,,,,,,,,,,,,
S90,Row,16.8,1.9,3.2,3.9,0.1,0.9,1,0,2.9,2,,,,,,,,,,,,,,,
S91,Row,15.375,2,2.333333333,4.75,0,1,0.25,0,2.916666667,2.916666667,,,,,,,,,,,,,,,
S92,Row,17.5,1.933333333,3.8,3,0,1,0.933333333,0,1.133333333,2,,,,,,,,,,,,,,,
S93,Row,15.63636364,1.363636364,2.909090909,3.454545455,0.272727273,0.909090909,0.909090909,0.363636364,3.090909091,2.272727273,,,,,,,,,,,,,,,
S94,Row,14.25,1.722222222,2.611111111,4.222222222,0.055555556,0.833333333,0.444444444,0.111111111,2.666666667,2.388888889,,,,,,,,,,,,,,,
S95,Row,16.65,1.7,3.3,3.9,0.3,0.7,0.6,0,2.3,2.4,,,,,,,,,,,,,,,
S96,Row,15.09375,1.75,2.875,3.6875,0.125,0.875,0.625,0,1.75,2.3125,,,,,,,,,,,,,,,
S97,Row,14.4,2,3,3.3,0,0.9,0.8,0,1.4,2.3,,,,,,,,,,,,,,,
S98,Row,14.66842105,1.473684211,2.736842105,3.263157895,0.368421053,0.947368421,0.894736842,0.105263158,1.578947368,2.210526316,,,,,,,,,,,,,,,
S99,Row,18.20833333,1.166666667,4.5,3.083333333,0.75,0.166666667,0.916666667,0,2,2.083333333,,,,,,,,,,,,,,,
SM1,Inst,14.66666667,1.833333333,2.5,3.166666667,0,0.5,0.5,0,2,1.666666667,,,,,,,,,,,,,,,
SM10,Inst,17.7,1.8,2.8,3.4,0,0.8,0.8,0,2,2.2,,,,,,,,,,,,,,,
SM11,Inst,16.2,2,3.2,3.8,0,1,1,0,2.6,2.5,,,,,,,,,,,,,,,
SM13,Inst,19.5,2,3.5,3.5,0,1,1,0,1.5,2.5,,,,,,,,,,,,,,,
SM15,Inst,10,0.571428571,2.857142857,3,0.857142857,0.428571429,0.571428571,0.428571429,3.285714286,1.857142857,,,,,,,,,,,,,,,
SM16,Inst,18.025,1.75,1.75,2.75,0,0.75,0.75,0,2,1.75,,,,,,,,,,,,,,,
SM18,Inst,12,2,4,4,0,1,1,0,3,3,,,,,,,,,,,,,,,
SM19,Inst,15.9,2,3.4,3.4,0.2,1,1,0,1.8,2.2,,,,,,,,,,,,,,,
SM2,Inst,15,2,2,3,1,1,1,0,1,2,,,,,,,,,,,,,,,
SM20,Inst,14.6,1.333333333,3,3.333333333,0.333333333,1,1,0.333333333,3.333333333,2.666666667,,,,,,,,,,,,,,,
SM4,Inst,12.76666667,1,3.444444444,3.444444444,1.444444444,0.777777778,1,0.222222222,2.111111111,1.888888889,,,,,,,,,,,,,,,
SM5,Inst,18.5,2,3.333333333,3,0,1,1,0,1.666666667,2,,,,,,,,,,,,,,,
SM6,Inst,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
SM8,Inst,15.15,2,3,3.5,0,1,1,0,2.5,2.5,,,,,,,,,,,,,,,
SM9,Inst,16.5,2,3,4,0,1,0.5,0,2,2,,,,,,,,,,,,,,,
SMC1,Inst,12.16666667,1,2,3,0,0.333333333,0.333333333,0.333333333,3,3,,,,,,,,,,,,,,,
SMC10,Inst,14.7,1.6,3.2,3.4,0.2,1,1,0.2,2.4,2.6,,,,,,,,,,,,,,,
SMC11,Inst,10.66666667,0.666666667,2.666666667,3,0.333333333,0.333333333,0.333333333,0.333333333,3,3,,,,,,,,,,,,,,,
SMC2,Inst,10.9,1.6,3,3.4,0,0.6,0.6,0,2.2,2.8,,,,,,,,,,,,,,,
SMC3,Inst,11.48,1.8,3.4,3.4,0.6,0.8,1,0,2,2.2,,,,,,,,,,,,,,,
SMC4,Inst,13.5,0,3,3,1,1,1,1,5,3,,,,,,,,,,,,,,,
SMC5,Inst,8.192307692,1.230769231,3.076923077,3.153846154,1.692307692,0.384615385,0.923076923,0.076923077,2.153846154,1.615384615,,,,,,,,,,,,,,,
SMC7,Inst,16,2,3,3.666666667,0,1,1,0,2,2,,,,,,,,,,,,,,,
SMC8,Inst,15.5,2,3.333333333,3.666666667,0,1,1,0,2,2.666666667,,,,,,,,,,,,,,,
SMC9,Inst,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
SP1,Inst,15.13333333,1.333333333,3.666666667,3,1,0,1,0.333333333,2,1.666666667,,,,,,,,,,,,,,,
SP10,Inst,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
SP11,Inst,14.9,1.625,3.375,3.25,0.25,0.875,0.75,0.25,2.625,2.375,,,,,,,,,,,,,,,
SP12,Inst,14.35714286,2,3.285714286,3.285714286,0,1,1,0,1.571428571,2.142857143,,,,,,,,,,,,,,,
SP13,Inst,19.5,2,3.5,3.5,0,1,1,0,1.5,2.5,,,,,,,,,,,,,,,
SP14,Inst,10,0.5,3,3,2.5,0.5,0.5,0.5,3.5,2.5,,,,,,,,,,,,,,,
SP16,Inst,19,2,3.666666667,3.333333333,0,1,1,0,1.333333333,2.333333333,,,,,,,,,,,,,,,
SP2,Inst,8.290909091,1.818181818,3,3.090909091,1.636363636,0.545454545,1,0.454545455,1.545454545,1.454545455,,,,,,,,,,,,,,,
SP3,Inst,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
SP4,Inst,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
SP5,Inst,14.3,1.8,3.2,3,0,0.8,0.8,0,1.2,2.2,,,,,,,,,,,,,,,
SP6,Inst,1.5,1,3,4,3,0,1,0,2,1,,,,,,,,,,,,,,,
SP7,Inst,15.75,2,3.5,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
SP8,Inst,6.123076923,1.923076923,3,3,2.076923077,0.230769231,0.923076923,0.692307692,1.769230769,1.230769231,,,,,,,,,,,,,,,
SP9,Inst,15,2,2.5,2.5,0,1,1,0.5,1.5,2.5,,,,,,,,,,,,,,,
ST1,Inst,7.557142857,1.285714286,3.142857143,2.857142857,1.285714286,0.714285714,0.857142857,0.285714286,2.428571429,2,,,,,,,,,,,,,,,
ST2,Inst,8.45,0.5,3.166666667,3.333333333,1.833333333,0.833333333,0.666666667,0.666666667,4,2.5,,,,,,,,,,,,,,,
ST3,Inst,12.42222222,1.111111111,3,3.333333333,0.888888889,0.777777778,1,0.333333333,2.888888889,2.444444444,,,,,,,,,,,,,,,
ST4,Inst,13.84285714,1.428571429,3.571428571,3.142857143,0.571428571,0.857142857,1,0.285714286,2.714285714,2.571428571,,,,,,,,,,,,,,,
ST5,Inst,9.85,1.5,3,3.166666667,0.5,0.5,1,0.166666667,1.5,1.666666667,,,,,,,,,,,,,,,
ST6,Inst,9.828571429,1.285714286,3.285714286,3.428571429,0.571428571,0.285714286,0.571428571,0.142857143,2.285714286,2,,,,,,,,,,,,,,,
ST7,Inst,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
ST9,Inst,11.05,1.5,2.166666667,3.666666667,0.833333333,0.666666667,0.833333333,0.5,2.666666667,2.333333333,,,,,,,,,,,,,,,
STL1,Inst,16,2,4,3.333333333,0,1,1,0,1.666666667,2.333333333,,,,,,,,,,,,,,,
STL10,Inst,16.5,2,3,4,0,1,0.666666667,0,2.333333333,2.333333333,,,,,,,,,,,,,,,
STL11,Inst,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
STL12,Inst,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
STL13,Inst,14.86363636,0.181818182,3.909090909,3,0.909090909,1,1,0.909090909,4.636363636,2.909090909,,,,,,,,,,,,,,,
STL14,Inst,16,2,4,3.333333333,0,1,1,0,1.666666667,2.333333333,,,,,,,,,,,,,,,
STL2,Inst,17.5,1.666666667,3.666666667,3.666666667,0.333333333,0.666666667,0.666666667,0,2,2.333333333,,,,,,,,,,,,,,,
STL4,Inst,15.28125,0.3125,3.8125,3.125,0.8125,0.9375,0.9375,0.8125,4.4375,2.875,,,,,,,,,,,,,,,
