Species.Code,Site.Code,GS.Type,Abund,Avg.Max.Height..m.,Growth.rate,Shade.tolerance,Drought.tolerance,Tree.Shape,Flowering,Fruiting,Fall.Colour,Leaf.shape,Bark.texture
ACSA,KP8,Inst,2,18,2,4,3,0,1,1,0,1,2
THOC,KP8,Inst,7,15,0,4,3,1,1,1,1,5,3
ACNE,KP9,Inst,7,12,2,4,4,0,1,1,0,3,3
ACPL,KP9,Inst,1,13.5,2,3,3,0,1,1,0,1,2
PONI,KP9,Inst,2,24.4,2,2,2,2,1,1,0,2,2
PRVI,KP9,Inst,1,8.5,1,3,3,0,0,0,0,2,1
THOC,KS1,Inst,4,15,0,4,3,1,1,1,1,5,3
MABA,KS2,Inst,1,8.5,1,2,3,0,0,0,0,2,3
RHTY,KS2,Inst,1,6.5,2,2,4,3,1,0,0,3,1
SYRE,KS2,Inst,1,7.5,1,2,3,0,0,1,1,2,1
THOC,KS2,Inst,2,15,0,4,3,1,1,1,1,5,3
JUCO,LH10,Inst,1,2.3,0,2,4,3,1,0,1,5,3
JUVI,LH10,Inst,3,13.7,1,1,5,1,1,1,1,5,3
ACPL,LH12,Inst,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,LH12,Inst,1,18,2,4,3,0,1,1,0,1,2
MABA,LH2,Inst,1,8.5,1,2,3,0,0,0,0,2,3
SYVU,LH2,Inst,6,3.5,1,3,3,3,0,1,0,2,1
ACPL,LH3,Inst,4,13.5,2,3,3,0,1,1,0,1,2
JUCO,LH3,Inst,1,2.3,0,2,4,3,1,0,1,5,3
JUVI,LH3,Inst,2,13.7,1,1,5,1,1,1,1,5,3
ACSA,LH4,Inst,1,18,2,4,3,0,1,1,0,1,2
TIAM,LH4,Inst,1,21,1,4,3,0,0,1,0,2,2
JUVI,LH7,Inst,1,13.7,1,1,5,1,1,1,1,5,3
TICO,LH7,Inst,1,19.5,1,5,3,1,0,1,0,2,2
ACPL,LH8,Inst,1,13.5,2,3,3,0,1,1,0,1,2
JUVI,LH8,Inst,1,13.7,1,1,5,1,1,1,1,5,3
QUMA,LH8,Inst,2,22.5,1,3,4,0,1,1,0,1,2
TICO,LH8,Inst,1,19.5,1,5,3,1,0,1,0,2,2
FRPE,LO1,Park,3,16.5,2,3,4,0,1,1,0,3,2
ACPL,LO10,Park,1,13.5,2,3,3,0,1,1,0,1,2
GLTR,LO10,Park,1,15,2,2,5,0,1,0,0,3,3
PRNI,LO10,Park,1,7.6,1,2,2,0,0,0,0,2,1
TICO,LO10,Park,1,19.5,1,5,3,1,0,1,0,2,2
ACSC,LO100,Park,3,20.5,1,5,3,0,1,1,0,1,2
ACPL,LO102,Park,2,13.5,2,3,3,0,1,1,0,1,2
CEJA,LO102,Park,3,15,2,2,2,0,1,1,0,3,3
THOC,LO102,Park,1,15,0,4,3,1,1,1,1,5,3
TICO,LO102,Park,1,19.5,1,5,3,1,0,1,0,2,2
ULAM,LO102,Park,2,21,2,3,4,0,1,1,0,2,3
VILE,LO102,Park,9,5,1,4,2,3,0,1,0,2,1
ACFR,LO103,Park,2,15,2,2,3,1,1,1,0,1,2
PYCO,LO104,Park,1,8.3,2,3,3,0,0,0,0,2,2
ACFR,LO105,Park,1,15,2,2,3,1,1,1,0,1,2
ACSC,LO108,Park,1,20.5,1,5,3,0,1,1,0,1,2
QUMA,LO108,Park,1,22.5,1,3,4,0,1,1,0,1,2
JUNI,LO109,Park,3,19,1,2,3,0,1,0,1,3,2
GYDI,LO11,Park,2,20.5,1,3,4,0,1,1,0,3,3
LALA,LO11,Park,2,12,2,1,2,1,1,1,0,5,3
ULXXFR,LO111,Park,1,12.2,1,4,4,4,1,1,0,2,2
GLTR,LO112,Park,1,15,2,2,5,0,1,0,0,3,3
MABA,LO112,Park,1,8.5,1,2,3,0,0,0,0,2,3
PRVISC,LO112,Park,1,7.6,2,3,3,0,0,0,0,2,1
LALA,LO115,Park,1,12,2,1,2,1,1,1,0,5,3
PIRU,LO115,Park,1,19.5,0,5,3,1,1,1,1,5,3
GYDI,LO116,Park,1,20.5,1,3,4,0,1,1,0,3,3
LALA,LO116,Park,1,12,2,1,2,1,1,1,0,5,3
PRVISC,LO116,Park,1,7.6,2,3,3,0,0,0,0,2,1
BEVU,LO119,Park,5,2.4,1,2,4,3,0,1,0,2,1
CEOC,LO119,Park,1,15,2,3,4,0,1,0,0,2,2
FRPE,LO119,Park,1,16.5,2,3,4,0,1,1,0,3,2
TICO,LO119,Park,1,19.5,1,5,3,1,0,1,0,2,2
FRPE,LO12,Park,1,16.5,2,3,4,0,1,1,0,3,2
GYDI,LO12,Park,1,20.5,1,3,4,0,1,1,0,3,3
LALA,LO12,Park,1,12,2,1,2,1,1,1,0,5,3
ACSA,LO123,Park,1,18,2,4,3,0,1,1,0,1,2
GIBI,LO123,Park,2,19.5,0,2,4,0,1,0,0,1,2
ACPL,LO125,Park,2,13.5,2,3,3,0,1,1,0,1,2
PIAB,LO126,Park,1,15,0,5,2,1,1,1,1,5,3
ACFR,LO128,Park,1,15,2,2,3,1,1,1,0,1,2
TICO,LO128,Park,1,19.5,1,5,3,1,0,1,0,2,2
CEOC,LO13,Park,2,15,2,3,4,0,1,0,0,2,2
PRVISC,LO13,Park,2,7.6,2,3,3,0,0,0,0,2,1
ACFR,LO130,Park,1,15,2,2,3,1,1,1,0,1,2
ACPL,LO130,Park,1,13.5,2,3,3,0,1,1,0,1,2
FRPE,LO131,Park,1,16.5,2,3,4,0,1,1,0,3,2
PIAB,LO131,Park,1,15,0,5,2,1,1,1,1,5,3
ACPL,LO132,Park,1,13.5,2,3,3,0,1,1,0,1,2
ACSC,LO132,Park,2,20.5,1,5,3,0,1,1,0,1,2
LOXY,LO132,Park,1,3.4,2,3,3,3,0,1,1,2,1
ULAM,LO133,Park,1,21,2,3,4,0,1,1,0,2,3
VILE,LO133,Park,4,5,1,4,2,3,0,1,0,2,1
ACSC,LO134,Park,1,20.5,1,5,3,0,1,1,0,1,2
ACSA,LO135,Park,2,18,2,4,3,0,1,1,0,1,2
FRPE,LO139,Park,1,16.5,2,3,4,0,1,1,0,3,2
PIAB,LO14,Park,1,15,0,5,2,1,1,1,1,5,3
PNSY,LO14,Park,2,13.5,1,2,5,0,1,1,1,5,3
ACPL,LO140,Park,1,13.5,2,3,3,0,1,1,0,1,2
ACFR,LO142,Park,1,15,2,2,3,1,1,1,0,1,2
CTSP,LO142,Park,1,15,2,2,5,0,0,0,0,2,3
GLTR,LO143,Park,1,15,2,2,5,0,1,0,0,3,3
JUNI,LO146,Park,1,19,1,2,3,0,1,0,1,3,2
FRPE,LO149,Park,2,16.5,2,3,4,0,1,1,0,3,2
ACSC,LO15,Park,1,20.5,1,5,3,0,1,1,0,1,2
ULXXFR,LO15,Park,1,12.2,1,4,4,4,1,1,0,2,2
ACSA,LO152,Park,1,18,2,4,3,0,1,1,0,1,2
COCO,LO152,Park,3,13.5,0,2,4,0,1,0,0,2,3
PNNI,LO152,Park,2,16.8,1,2,4,1,1,1,1,5,3
THOC,LO153,Park,1,15,0,4,3,1,1,1,1,5,3
TICO,LO153,Park,1,19.5,1,5,3,1,0,1,0,2,2
ULXXFR,LO153,Park,2,12.2,1,4,4,4,1,1,0,2,2
ACPL,LO154,Park,4,13.5,2,3,3,0,1,1,0,1,2
ACFR,LO155,Park,1,15,2,2,3,1,1,1,0,1,2
FRAM,LO155,Park,1,19.5,2,2,3,0,1,1,0,3,2
TIAM,LO155,Park,1,21,1,4,3,0,0,1,0,2,2
MABA,LO156,Park,4,8.5,1,2,3,0,0,0,0,2,3
THOC,LO156,Park,2,15,0,4,3,1,1,1,1,5,3
TICO,LO156,Park,2,19.5,1,5,3,1,0,1,0,2,2
ULAM,LO156,Park,1,21,2,3,4,0,1,1,0,2,3
ACPL,LO158,Park,2,13.5,2,3,3,0,1,1,0,1,2
ACFR,LO161,Park,1,15,2,2,3,1,1,1,0,1,2
GLTR,LO161,Park,1,15,2,2,5,0,1,0,0,3,3
FRPE,LO162,Park,2,16.5,2,3,4,0,1,1,0,3,2
MABA,LO162,Park,1,8.5,1,2,3,0,0,0,0,2,3
PIAB,LO162,Park,2,15,0,5,2,1,1,1,1,5,3
COCO,LO163,Park,1,13.5,0,2,4,0,1,0,0,2,3
GYDI,LO163,Park,3,20.5,1,3,4,0,1,1,0,3,3
QURU,LO167,Park,1,20.5,2,3,3,0,1,1,0,1,2
ACSC,LO17,Park,1,20.5,1,5,3,0,1,1,0,1,2
ACPL,LO171,Park,1,13.5,2,3,3,0,1,1,0,1,2
FRAM,LO171,Park,2,19.5,2,2,3,0,1,1,0,3,2
TICO,LO171,Park,1,19.5,1,5,3,1,0,1,0,2,2
FRPE,LO18,Park,1,16.5,2,3,4,0,1,1,0,3,2
LALA,LO19,Park,1,12,2,1,2,1,1,1,0,5,3
MABA,LO19,Park,1,8.5,1,2,3,0,0,0,0,2,3
ULMI,LO19,Park,2,24.3,2,3,3,0,1,1,0,2,2
ACTA,LO2,Park,2,5.5,1,4,4,0,1,1,0,2,2
PIAB,LO2,Park,2,15,0,5,2,1,1,1,1,5,3
TIAM,LO2,Park,1,21,1,4,3,0,0,1,0,2,2
ACPL,LO22,Park,4,13.5,2,3,3,0,1,1,0,1,2
ACPL,LO24,Park,1,13.5,2,3,3,0,1,1,0,1,2
GLTR,LO24,Park,1,15,2,2,5,0,1,0,0,3,3
THOC,LO24,Park,1,15,0,4,3,1,1,1,1,5,3
CGPU,LO25,Park,1,7.6,1,4,4,0,0,1,0,2,2
GLTR,LO25,Park,3,15,2,2,5,0,1,0,0,3,3
BENI,LO26,Park,1,16.5,2,2,2,0,1,1,1,2,3
FRPE,LO26,Park,1,16.5,2,3,4,0,1,1,0,3,2
PIAB,LO26,Park,1,15,0,5,2,1,1,1,1,5,3
GLTR,LO28,Park,1,15,2,2,5,0,1,0,0,3,3
CEOC,LO29,Park,1,15,2,3,4,0,1,0,0,2,2
QUBI,LO29,Park,1,16.5,1,3,4,0,1,1,0,1,3
FRAM,LO3,Park,2,19.5,2,2,3,0,1,1,0,3,2
FRPE,LO3,Park,1,16.5,2,3,4,0,1,1,0,3,2
ULMI,LO3,Park,2,24.3,2,3,3,0,1,1,0,2,2
ACPL,LO30,Park,2,13.5,2,3,3,0,1,1,0,1,2
ULAM,LO30,Park,1,21,2,3,4,0,1,1,0,2,3
CEOC,LO32,Park,1,15,2,3,4,0,1,0,0,2,2
PRPA,LO32,Park,1,10.7,2,3,2,0,0,0,0,2,1
ULMI,LO33,Park,2,24.3,2,3,3,0,1,1,0,2,2
GIBI,LO34,Park,1,19.5,0,2,4,0,1,0,0,1,2
GLTR,LO34,Park,2,15,2,2,5,0,1,0,0,3,3
PNSY,LO35,Park,1,13.5,1,2,5,0,1,1,1,5,3
GLTR,LO36,Park,1,15,2,2,5,0,1,0,0,3,3
QURU,LO36,Park,1,20.5,2,3,3,0,1,1,0,1,2
TICO,LO36,Park,2,19.5,1,5,3,1,0,1,0,2,2
FRPE,LO37,Park,3,16.5,2,3,4,0,1,1,0,3,2
ACFR,LO38,Park,1,15,2,2,3,1,1,1,0,1,2
QURU,LO38,Park,1,20.5,2,3,3,0,1,1,0,1,2
QUBI,LO39,Park,1,16.5,1,3,4,0,1,1,0,1,3
ACSA,LO4,Park,1,18,2,4,3,0,1,1,0,1,2
JUNI,LO4,Park,1,19,1,2,3,0,1,0,1,3,2
MABA,LO4,Park,1,8.5,1,2,3,0,0,0,0,2,3
ACPL,LO43,Park,4,13.5,2,3,3,0,1,1,0,1,2
PIPU,LO44,Park,3,13.5,0,3,3,1,1,1,1,5,3
ACPL,LO45,Park,1,13.5,2,3,3,0,1,1,0,1,2
COCO,LO45,Park,1,13.5,0,2,4,0,1,0,0,2,3
PRVISC,LO45,Park,1,7.6,2,3,3,0,0,0,0,2,1
CEOC,LO48,Park,2,15,2,3,4,0,1,0,0,2,2
ACPL,LO49,Park,1,13.5,2,3,3,0,1,1,0,1,2
PNNI,LO49,Park,1,16.8,1,2,4,1,1,1,1,5,3
ACSA,LO5,Park,1,18,2,4,3,0,1,1,0,1,2
ACPL,LO50,Park,2,13.5,2,3,3,0,1,1,0,1,2
ACPL,LO54,Park,1,13.5,2,3,3,0,1,1,0,1,2
CEOC,LO54,Park,2,15,2,3,4,0,1,0,0,2,2
FRAM,LO54,Park,1,19.5,2,2,3,0,1,1,0,3,2
GLTR,LO56,Park,1,15,2,2,5,0,1,0,0,3,3
ACPL,LO58,Park,4,13.5,2,3,3,0,1,1,0,1,2
JUNI,LO59,Park,2,19,1,2,3,0,1,0,1,3,2
QUMA,LO59,Park,1,22.5,1,3,4,0,1,1,0,1,2
FRPE,LO6,Park,1,16.5,2,3,4,0,1,1,0,3,2
ULMI,LO6,Park,1,24.3,2,3,3,0,1,1,0,2,2
ACRU,LO60,Park,1,15,2,4,2,0,0,1,0,1,3
CGPU,LO63,Park,1,7.6,1,4,4,0,0,1,0,2,2
COCO,LO63,Park,2,13.5,0,2,4,0,1,0,0,2,3
PIAB,LO63,Park,2,15,0,5,2,1,1,1,1,5,3
ACSC,LO64,Park,1,20.5,1,5,3,0,1,1,0,1,2
CEOC,LO64,Park,6,15,2,3,4,0,1,0,0,2,2
GLTR,LO64,Park,1,15,2,2,5,0,1,0,0,3,3
QURU,LO64,Park,1,20.5,2,3,3,0,1,1,0,1,2
LOXY,LO65,Park,1,3.4,2,3,3,3,0,1,1,2,1
MABA,LO65,Park,1,8.5,1,2,3,0,0,0,0,2,3
THOC,LO65,Park,2,15,0,4,3,1,1,1,1,5,3
TICO,LO65,Park,1,19.5,1,5,3,1,0,1,0,2,2
ULAM,LO65,Park,1,21,2,3,4,0,1,1,0,2,3
FRPE,LO66,Park,1,16.5,2,3,4,0,1,1,0,3,2
ACPL,LO67,Park,3,13.5,2,3,3,0,1,1,0,1,2
ACSC,LO68,Park,2,20.5,1,5,3,0,1,1,0,1,2
AMAR,LO68,Park,1,6.5,0,5,3,0,0,0,0,2,2
THOC,LO68,Park,2,15,0,4,3,1,1,1,1,5,3
ULAM,LO68,Park,2,21,2,3,4,0,1,1,0,2,3
VILE,LO68,Park,9,5,1,4,2,3,0,1,0,2,1
GLTR,LO7,Park,1,15,2,2,5,0,1,0,0,3,3
ACSC,LO71,Park,1,20.5,1,5,3,0,1,1,0,1,2
JUNI,LO72,Park,1,19,1,2,3,0,1,0,1,3,2
CGMO,LO75,Park,1,7.6,1,2,3,3,0,1,0,1,2
PIAB,LO75,Park,1,15,0,5,2,1,1,1,1,5,3
PNNI,LO75,Park,1,16.8,1,2,4,1,1,1,1,5,3
QUMA,LO75,Park,1,22.5,1,3,4,0,1,1,0,1,2
FRPE,LO76,Park,1,16.5,2,3,4,0,1,1,0,3,2
ACPL,LO77,Park,3,13.5,2,3,3,0,1,1,0,1,2
ULLA,LO77,Park,1,40,2,4,1,0,1,1,0,2,2
ULMI,LO77,Park,1,24.3,2,3,3,0,1,1,0,2,2
CGPU,LO80,Park,2,7.6,1,4,4,0,0,1,0,2,2
MABA,LO80,Park,1,8.5,1,2,3,0,0,0,0,2,3
MASY,LO80,Park,3,10,2,2,3,0,0,0,0,2,3
PNNI,LO80,Park,3,16.8,1,2,4,1,1,1,1,5,3
QUBI,LO81,Park,1,16.5,1,3,4,0,1,1,0,1,3
ACFR,LO83,Park,1,15,2,2,3,1,1,1,0,1,2
PIAB,LO84,Park,3,15,0,5,2,1,1,1,1,5,3
PIPU,LO84,Park,1,13.5,0,3,3,1,1,1,1,5,3
ACPL,LO85,Park,4,13.5,2,3,3,0,1,1,0,1,2
GLTR,LO86,Park,3,15,2,2,5,0,1,0,0,3,3
MABA,LO89,Park,3,8.5,1,2,3,0,0,0,0,2,3
TICO,LO89,Park,1,19.5,1,5,3,1,0,1,0,2,2
AMAR,LO90,Park,1,6.5,0,5,3,0,0,0,0,2,2
MABA,LO90,Park,4,8.5,1,2,3,0,0,0,0,2,3
THOC,LO90,Park,4,15,0,4,3,1,1,1,1,5,3
CACA,LO91,Park,1,7.5,0,5,2,0,1,1,0,2,1
PYCA,LO91,Park,2,12,2,2,5,1,0,0,0,2,2
SYRE,LO91,Park,1,7.5,1,2,3,0,0,1,1,2,1
ACPL,LO92,Park,1,13.5,2,3,3,0,1,1,0,1,2
ACSC,LO92,Park,2,20.5,1,5,3,0,1,1,0,1,2
TICO,LO92,Park,1,19.5,1,5,3,1,0,1,0,2,2
ULAM,LO92,Park,1,21,2,3,4,0,1,1,0,2,3
ACPL,LO93,Park,1,13.5,2,3,3,0,1,1,0,1,2
FRPE,LO94,Park,3,16.5,2,3,4,0,1,1,0,3,2
LALA,LO94,Park,1,12,2,1,2,1,1,1,0,5,3
MABA,LO94,Park,1,8.5,1,2,3,0,0,0,0,2,3
PIAB,LO94,Park,1,15,0,5,2,1,1,1,1,5,3
QUMA,LO95,Park,3,22.5,1,3,4,0,1,1,0,1,2
TICO,LO96,Park,1,19.5,1,5,3,1,0,1,0,2,2
FRPE,LO97,Park,1,16.5,2,3,4,0,1,1,0,3,2
ACSC,LO98,Park,3,20.5,1,5,3,0,1,1,0,1,2
CGPU,LO99,Park,1,7.6,1,4,4,0,0,1,0,2,2
PIAB,LO99,Park,1,15,0,5,2,1,1,1,1,5,3
PNNI,LO99,Park,1,16.8,1,2,4,1,1,1,1,5,3
TIAM,LO99,Park,1,21,1,4,3,0,0,1,0,2,2
ACPL,S1,Row,3,13.5,2,3,3,0,1,1,0,1,2
AEHI,S1,Row,1,19,1,4,3,0,0,1,0,4,3
GLTR,S1,Row,1,15,2,2,5,0,1,0,0,3,3
QURU,S1,Row,1,20.5,2,3,3,0,1,1,0,1,2
TIAM,S1,Row,1,21,1,4,3,0,0,1,0,2,2
TICO,S1,Row,11,19.5,1,5,3,1,0,1,0,2,2
ACSA,S10,Row,3,18,2,4,3,0,1,1,0,1,2
CEOC,S10,Row,4,15,2,3,4,0,1,0,0,2,2
FRPE,S10,Row,1,16.5,2,3,4,0,1,1,0,3,2
PIPU,S10,Row,1,13.5,0,3,3,1,1,1,1,5,3
TICO,S10,Row,4,19.5,1,5,3,1,0,1,0,2,2
ACPL,S100,Row,7,13.5,2,3,3,0,1,1,0,1,2
ACSA,S100,Row,2,18,2,4,3,0,1,1,0,1,2
AMCA,S100,Row,1,4,1,3,3,4,0,0,0,2,1
CACA,S100,Row,1,7.5,0,5,2,0,1,1,0,2,1
GIBI,S100,Row,1,19.5,0,2,4,0,1,0,0,1,2
OSVI,S100,Row,1,10,0,5,4,0,0,1,0,2,3
QUROFA,S100,Row,1,16.8,1,2,3,1,1,1,0,1,2
ULMI,S100,Row,1,24.3,2,3,3,0,1,1,0,2,2
ULXXHO,S100,Row,1,18.3,2,2,3,0,1,1,0,2,2
ACFR,S101,Row,1,15,2,2,3,1,1,1,0,1,2
BENI,S101,Row,1,16.5,2,2,2,0,1,1,1,2,3
TICO,S101,Row,16,19.5,1,5,3,1,0,1,0,2,2
ACFR,S102,Row,1,15,2,2,3,1,1,1,0,1,2
ACPL,S102,Row,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,S102,Row,2,18,2,4,3,0,1,1,0,1,2
ALGL,S102,Row,1,15,1,3,3,1,1,1,1,2,2
CEOC,S102,Row,1,15,2,3,4,0,1,0,0,2,2
GLTR,S102,Row,1,15,2,2,5,0,1,0,0,3,3
QUPA,S102,Row,1,19.5,1,2,3,1,1,1,0,1,2
TICO,S102,Row,2,19.5,1,5,3,1,0,1,0,2,2
ACSA,S103,Row,5,18,2,4,3,0,1,1,0,1,2
ACSC,S103,Row,1,20.5,1,5,3,0,1,1,0,1,2
CACA,S103,Row,1,7.5,0,5,2,0,1,1,0,2,1
CEOC,S103,Row,1,15,2,3,4,0,1,0,0,2,2
MABA,S103,Row,1,8.5,1,2,3,0,0,0,0,2,3
MGXXSO,S103,Row,1,7.6,1,3,2,3,0,1,1,2,1
OSVI,S103,Row,1,10,0,5,4,0,0,1,0,2,3
TICO,S103,Row,9,19.5,1,5,3,1,0,1,0,2,2
ACSA,S104,Row,2,18,2,4,3,0,1,1,0,1,2
GIBI,S104,Row,1,19.5,0,2,4,0,1,0,0,1,2
GLTR,S104,Row,1,15,2,2,5,0,1,0,0,3,3
JUNI,S104,Row,1,19,1,2,3,0,1,0,1,3,2
QUROFA,S104,Row,1,16.8,1,2,3,1,1,1,0,1,2
SOAU,S104,Row,1,9,1,3,3,3,0,0,0,3,1
TICO,S104,Row,4,19.5,1,5,3,1,0,1,0,2,2
ACFR,S105,Row,1,15,2,2,3,1,1,1,0,1,2
ACPL,S105,Row,3,13.5,2,3,3,0,1,1,0,1,2
ACSA,S105,Row,1,18,2,4,3,0,1,1,0,1,2
MABA,S105,Row,3,8.5,1,2,3,0,0,0,0,2,3
PIPU,S105,Row,1,13.5,0,3,3,1,1,1,1,5,3
QUPA,S105,Row,1,19.5,1,2,3,1,1,1,0,1,2
QURU,S105,Row,1,20.5,2,3,3,0,1,1,0,1,2
TICO,S105,Row,14,19.5,1,5,3,1,0,1,0,2,2
ACPL,S106,Row,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,S106,Row,13,18,2,4,3,0,1,1,0,1,2
CTSP,S106,Row,1,15,2,2,5,0,0,0,0,2,3
JUNI,S106,Row,1,19,1,2,3,0,1,0,1,3,2
QUROFA,S106,Row,1,16.8,1,2,3,1,1,1,0,1,2
TICO,S106,Row,2,19.5,1,5,3,1,0,1,0,2,2
ACPL,S107,Row,3,13.5,2,3,3,0,1,1,0,1,2
ACSA,S107,Row,3,18,2,4,3,0,1,1,0,1,2
LITU,S107,Row,1,24,1,2,3,0,0,1,0,1,2
ACPL,S108,Row,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,S108,Row,12,18,2,4,3,0,1,1,0,1,2
SYRE,S108,Row,1,7.5,1,2,3,0,0,1,1,2,1
ACPL,S109,Row,3,13.5,2,3,3,0,1,1,0,1,2
ACSA,S109,Row,3,18,2,4,3,0,1,1,0,1,2
FRPE,S109,Row,3,16.5,2,3,4,0,1,1,0,3,2
GYDI,S109,Row,2,20.5,1,3,4,0,1,1,0,3,3
PIGL,S109,Row,1,15,1,5,3,1,1,1,1,5,3
PIPU,S109,Row,1,13.5,0,3,3,1,1,1,1,5,3
PIRU,S109,Row,1,19.5,0,5,3,1,1,1,1,5,3
QUROFA,S109,Row,1,16.8,1,2,3,1,1,1,0,1,2
ACPL,S11,Row,5,13.5,2,3,3,0,1,1,0,1,2
ACSA,S11,Row,3,18,2,4,3,0,1,1,0,1,2
ACSC,S11,Row,1,20.5,1,5,3,0,1,1,0,1,2
GIBI,S11,Row,2,19.5,0,2,4,0,1,0,0,1,2
GYDI,S11,Row,2,20.5,1,3,4,0,1,1,0,3,3
QUPA,S11,Row,1,19.5,1,2,3,1,1,1,0,1,2
QUROFA,S11,Row,1,16.8,1,2,3,1,1,1,0,1,2
TICO,S11,Row,1,19.5,1,5,3,1,0,1,0,2,2
ACPL,S12,Row,2,13.5,2,3,3,0,1,1,0,1,2
ACSA,S12,Row,1,18,2,4,3,0,1,1,0,1,2
FRPE,S12,Row,4,16.5,2,3,4,0,1,1,0,3,2
